   5 ukr	lb
   1 liivih	ale
   1 liideru	komuniistiiv
   1 liideru	Sociialiistichnoyi
   1 liider	radyans
   1 liider	Sociialiistichna
   1 lichnosti	i
   1 lend	v
   1 la	lend
   1 kviitnya	2014
   1 kviitnii	1996
   1 kupuyut	sya
   1 kupuvati	18
   1 kupolom	Radi
   1 kudi	kriim
   1 kudi	biil
   1 krizi	10
   1 kriislo	iinshomu
   1 kriislo	ale
   1 kriislii	spiikera
   1 kriisla	ta
   1 kriim	zgadanih
   1 krepostnoj	nevole
   1 krajniim	divom
   1 kozhnij	z
   1 koyu	partiiieyu
   1 koyi	yim
   1 koyi	nostal
   1 koyi	nomenklaturi
   1 koyi	komuniistichnoyi
   1 koyi	kartki
   1 koyi	diiyal
   1 koyi	chetviirki
   1 koshtuvala	Sociialiistichniij
   1 korporativami	i
   1 koristuvach	iinternetu
   1 korist	Petra
   1 korist	IEvgena
   1 kopiiyuvannya	viidtvorennya
   1 konstituciijnoyi	nochii
   1 komuniistiiv	yaka
   1 komuniistiiv	ii
   1 komuniistiiv	buli
   1 komuniistiiv	Ukrayini
   1 komuniistiiv	Nezadoviil
   1 komuniistichnoyi	partiiyi
   1 komuniisti	perebuvali
   1 kompromiisiiv	miizh
   1 kompensuvalas	na
   1 komiitetu	ta
   1 komiitetu	Valentina
   1 kolivan	neriidko
   1 koli	praciivniku
   1 koli	mi
   1 koli	golova
   1 kolgospiiv	ii
   1 kogo	schastya
   1 kogo	referendumu
   1 kogo	kriisla
   1 kogo	18
   1 ko	zayaviv
   1 klasichnii	komuniisti
   1 kim	nasillyam
   1 kim	moryakam
   1 kij	sud
   1 kij	Groshii
   1 kiivschina	a
   1 kiincya	ne
   1 kiil	ka
   1 kiij	miiscevostii
   1 kii	mandati
   1 kii	chasi
   1 kih	zv
   1 kih	taborah
   1 kih	diij
   1 kih	Rosiijs
   1 kih	Kabmiin
   1 ki	zberiig
   1 ki	viirtuoznimi
   1 ki	Novini
   1 keriivnikami	velikih
   1 ke	ob
   1 kaya	zhatva
   1 kategoriiyi	Ukrayinii
   1 kartki	scho
   1 kar	iera
   1 kaniivs	koyi
   1 kandidaturu	na
   1 kampaniiya	proti
   1 kampaniiieyu	Rosiijs
   1 kampaniiieyu	Oprilyudneno
   1 kak	lichnosti
   1 kachestvom	11
   1 ka	chinovnikiiv
   1 ka	Foto
   1 k	pros
   1 jshla	pro
   1 jogo	najblizhche
   1 j	zvinuvativ
   1 j	utvorili
   1 j	utverdiv
   1 j	ul
   1 j	simpatiiyi
   1 j	pravih
   1 j	narodila
   1 j	na
   1 j	dvoma
   1 j	Ukrayins
   1 izbranniki	soznatel
   1 iz	Ukrainy
   1 ispol	zuet
   1 info	SPU
   1 ili	riski
   1 iiz	minulim
   1 iistoriiyi	Ukrayini
   1 iinternetu	zustriilisya
   1 iinternet	v
   1 iinshomu	predstavnikovii
   1 iinshe	vikoristannya
   1 iinkoli	ciilimi
   1 iiniiciiator	ob
   1 iiniiciiativa	dorogo
   1 iinformaciijna	kampaniiya
   1 iinflyaciiyi	nebachenim
   1 iimplementaciiyu	iedinogo
   1 ii	vzhe
   1 ii	vivchayuchi
   1 ii	spryamuvati
   1 ii	spiivuchasnikiiv
   1 ii	sformovanogo
   1 ii	selyan
   1 ii	sche
   1 ii	real
   1 ii	radgospiiv
   1 ii	provesti
   1 ii	podal
   1 ii	nauki
   1 ii	jogo
   1 ii	gotovij
   1 ii	dalii
   1 ii	borcyami
   1 ii	ambiiciijnij
   1 ii	Twitter
   1 iera	spiikera
   1 iemnoyi	skladovoyi
   1 iednuvali	svoyi
   1 iednavshi	zusillya
   1 iednati	zaboronenih
   1 iednannya	zusil
   1 iednannya	Oleksandru
   1 iednannya	O
   1 iednannya	2000
   1 iedinogo	j
   1 iedinii	uosoblyuvali
   1 ie	najposhireniishoyu
   1 ie	Foto
   1 id	440471506375777
   1 i	vyborami
   1 i	predlozheniem
   1 i	nebyvalym
   1 i	grazhdanina
   1 i	armii
   1 hvilii	post
   1 hto	stvoryuie
   1 hto	ne
   1 html	Za
   1 html	Simvoliichnii
   1 html	Pravo
   1 html	Mi
   1 html	Medreforma
   1 hoztovaroproizvoditelyam	privlekat
   1 hodii	yakih
   1 hoche	vvazhati
   1 hocha	mova
   1 harchuvannya	v
   1 grupu	veteraniiv
   1 grudnya	2000
   1 grozi	html
   1 groshii	13
   1 groshej	yak
   1 gromadyan	do
   1 grivny	ili
   1 grazhdanina	k
   1 grazhdanina	14
   1 grazhdan	i
   1 gravcya	na
   1 grani	s
   1 grafiik	do
   1 gotuyuchis	do
   1 gotovij	brati
   1 gospodars	kih
   1 gorca	Vsii
   1 gorca	19
   1 golovnomu	zakonodavchomu
   1 golovnii	novini
   1 golova	SPU
   1 golova	Antimonopol
   1 golosiiv	udviichii
   1 godovschine	Reshenie
   1 godovschine	Mit
   1 goda	Narodnye
   1 glibokomu	nokautii
   1 giiperposilannya	na
   1 gendel	piid
   1 frontovikiiv	maksimal
   1 frakciiyu	u
   1 frakciiyu	a
   1 frakciiyi	ta
   1 frakciiya	sociialiistiiv
   1 fone	potoka
   1 finansirovanie	pod
   1 faktichno	iedinii
   1 faktichno	drugogo
   1 ev	PageView
   1 eto	pro
   1 ekviivalentii	stanovili
   1 ekonomiki	Ottok
   1 ekonomiiki	z
   1 ekonomiiki	Golova
   1 efektivnoyu	11
   1 efektivnij	shvidkij
   1 ee	grazhdan
   1 dva	roki
   1 dva	miisyacii
   1 dumat	o
   1 drugogo	piislya
   1 dovelosya	nedovgo
   1 dosyagala	apogeyu
   1 dostupnij	zahist
   1 dostizheniya	svoih
   1 dosii	bezrobiittyam
   1 dorogo	koshtuvala
   1 dopomogoyu	bankiivs
   1 dopomogi	ukrayins
   1 dopomogi	komuniistiiv
   1 dopolnitel	noe
   1 domogtisya	speciial
   1 dolariiv	Odnak
   1 doklala	chimalo
   1 dogovoru	1995
   1 do	zvichnih
   1 do	zniknennya
   1 do	vikoristannya
   1 do	togo
   1 do	rozroblennya
   1 do	rozglyadu
   1 do	prezidenta
   1 do	pologiiv
   1 do	parlaments
   1 do	ostann
   1 do	novih
   1 do	lona
   1 do	kiincya
   1 do	2020
   1 dnya	koli
   1 dnepr	info
   1 dlya	sociialiistiiv
   1 dlya	sebe
   1 dlya	razvitiya
   1 dlya	n
   1 dlya	mene
   1 dlya	dostizheniya
   1 dlya	Liivogo
   1 dlya	Kyrgyzstana
   1 divom	V
   1 diviidendami	yakii
   1 disproporcij	mezhdu
   1 diskriminaciyu	okolo
   1 discipliini	vseredinii
   1 diiyuchogo	prezidenta
   1 diiyi	viklyuchili
   1 diiyati	proti
   1 diistav	gendel
   1 diistatisya	z
   1 diij	u
   1 diij	ofiiciijno
   1 diiietu	YAk
   1 desyatiriichchya	nezalezhnoyi
   1 derzhmajna	Staniislav
   1 derzhavniij	posadii
   1 derzhavii	na
   1 derzhavi	j
   1 derzhavi	gravcya
   1 derzhavi	bagato
   1 derzhavi	Perebuvannya
   1 derzhavi	Komuniistichnoyi
   1 deputats	kii
   1 deputatiiv	Toj
   1 deputat	Volodimir
   1 den	zaboroni
   1 dedalii	vazhche
   1 de	kupuvati
   1 davalisya	dedalii
   1 davala	posada
   1 dast	vozmozhnost
   1 dari	ii
   1 dannyh	
   1 dalii	zalishit
   1 dal	nejshee
   1 cya	vtrata
   1 culture	2018
   1 ciilkom	kompensuvalas
   1 ciilimi	partorganiizaciiyami
   1 cih	kolivan
   1 chtoby	dumat
   1 chotiririichnoyi	pauzi
   1 chleniiv	chetviirki
   1 chleniiv	VO
   1 chleniiv	Socpartiiyi
   1 chleni	SPU
   1 chisla	grivny
   1 chinovnikiiv	Vsii
   1 chimalo	zustriichej
   1 chimalo	zusil
   1 chiitkij	algoritm
   1 chi	ne
   1 chi	chastkovogo
   1 chetviirki	piishov
   1 chetviirki	J
   1 chervnya	1996
   1 chergovij	rozbrat
   1 cheloveka	kak
   1 chasu	tezh
   1 chasu	odin
   1 chasto	nazivayut
   1 chastkovogo	viidtvorennya
   1 chastina	chleniiv
   1 chasi	komuniistiiv
   1 chas	viijni
   1 chas	proveli
   1 chas	nebezpiidstavno
   1 centru	stala
   1 celej	09
   1 cej	signal
   1 ce	stalo
   1 ce	ne
   1 ce	namagannya
   1 ce	na
   1 ce	kriislo
   1 buv	sviij
   1 buv	rozpisanij
   1 buv	neriidko
   1 buv	chi
   1 bulo	progolosheno
   1 bulo	krajniim
   1 buli	kudi
   1 bula	na
   1 bukval	no
   1 budet	svoe
   1 budet	sozdavat
   1 bude	Volodimir
   1 brati	za
   1 borcyami	za
   1 bokom	IE
   1 blogiiv	INS
   1 bloga	IEvropejs
   1 bliz	koyi
   1 blagopoluchii	strany
   1 biil	shimi
   1 bi	bezzaperechnij
   1 bezzaperechnij	liider
   1 bezrobiittyam	rozrivom
   1 bez	zakonodavcho
   1 bez	uchastii
   1 bez	rozumiinnya
   1 bez	perebiil
   1 bez	groshej
   1 bez	Kuchmi
   1 bazovoyi	pravovoyi
   1 barterami	sotnyami
   1 bankiivs	koyi
   1 bagato	z
   1 bagat	om
   1 bagat	oh
   1 b	strategiichno
   1 b	podumati
   1 avtostanciiyi	za
   1 avtonomiizaciiyu	komuniistiiv
   1 avtokefaliiyu	Neviidomii
   1 avtokefaliiyu	Nespodiivana
   1 armii	vlast
   1 apogeyu	koli
   1 antagoniistichnimi	predstavnikami
   1 ambiiciijnij	Moroz
   1 alternate	UKR
   1 alkotochku	Vas
   1 alkotochcii	15
   1 algoritm	yak
   1 algoritm	diij
   1 al	ternativnoyi
   1 akushers	kim
   1 akushers	kih
   1 aktivnoyi	dopomogi
   1 akompanement	riidnoyi
   1 agresivnih	akushers
   1 agiitaciijnimi	mozhlivostyami
   1 agentstvo	Ukrayins
   1 admiiniistrativno	agiitaciijnimi
   1 abo	iinshe
   1 a	ninii
   1 a	neriidko
   1 a	ne
   1 a	liider
   1 a	iiniiciiator
   1 a	28
   1 a	27
   1 ____________________________________________________________	Nadiislati
   1 ____________________	BUTTON
   1 Zrujnovanij	palac
   1 Znayu	scho
   1 Znajdena	pomilka
   1 Zemlya	v
   1 Zakon	derzhavi
   1 Za	Orvellom
   1 ZHuravel	U
   1 Z	c
   1 YAvlenie	pros
   1 YAk	zakriti
   1 YAk	domogtisya
   1 Vsii	zapisi
   1 Vsii	publiikaciiyi
   1 Vseukrayins	ke
   1 Voni	na
   1 Volodimira	Marchenka
   1 Volodimira	Goshovs
   1 Volodimir	Oliijnik
   1 Volodimir	Makeienko
   1 Vmesto	togo
   1 Vlada	mala
   1 Vkontakte	Facebook
   1 Viitrenko	ta
   1 Viiktoriiya	Matola
   1 Viijna	na
   1 Viidnovlennya	KPU
   1 Viideo	____________________
   1 Viideo	Avtori
   1 Vihodit	tak
   1 Vibiir	redakciiyi
   1 Vhiid	CHerez
   1 Veterani	ATO
   1 Verhovniij	Radii
   1 Vbivstvo	Gandzyuk
   1 Vazhlivo	te
   1 Vasil	Cushko
   1 Vas	diistav
   1 Valeriij	Fiischuk
   1 Valentina	Semenyuk
   1 VO	Bat
   1 V	Homutec
   1 V	Homutcii
   1 Uvelichenie	chisla
   1 Ukrayins	koyi
   1 Ukrayins	ki
   1 Ukrayins	ka
   1 Ukrayinii	ii
   1 Ukrayinii	Rosiijs
   1 Ukrayinii	Golovna
   1 Ukrayini	yak
   1 Ukrayini	viiddati
   1 Ukrayini	to
   1 Ukrayini	ta
   1 Ukrayini	piid
   1 Ukrayini	masovii
   1 Ukrayini	kudi
   1 Ukrayini	Volodimir
   1 Ukrayini	Vihodit
   1 Ukrayini	U
   1 Ukrayini	Spiikerstvo
   1 Ukrayini	Robota
   1 Ukrayini	IIII
   1 Ukrayina	bez
   1 Ukrainy	vysokimi
   1 Ukrainu	ot
   1 URSR	liider
   1 UKR	RUS
   1 UKR	ENG
   1 U	sociialiistichnomu
   1 U	rezul
   1 U	razii
   1 U	pershiij
   1 U	1999
   1 Tyan	SHanya
   1 Twitter	Temy
   1 Twitter	LinkedIn
   1 Twitter	Foto
   1 Twitter	Drugie
   1 Toj	partiijnij
   1 Tkachenku	odnak
   1 Tkachenko	znyavsya
   1 Tkachenko	loyal
   1 Tizhden	prava
   1 Temy	SPU
   1 Tekst	z
   1 Sudu	Vasil
   1 Suddya	Konstituciijnogo
   1 Staniislav	Niikolaienko
   1 Staniislav	Kucenko
   1 Spravedlivij	efektivnij
   1 Spisok	Grojsmana
   1 Spiikerstvo	O
   1 Spectemy	Dos
   1 Socpartiiyi	rozpochalasya
   1 Socpartiiyi	iinkoli
   1 Sociialiistichnoyi	partiiyi
   1 Sociialiistichniij	partiiyi
   1 Sociialiisti	U
   1 Skolov	K
   1 Simvoliichnii	dari
   1 Simonenka	a
   1 Sergiij	Sas
   1 Sencov	KishkiNa
   1 Semenyuk	Samsonenko
   1 Selyans	koyu
   1 Sas	odin
   1 Samsonenko	majbutnya
   1 SPU	z
   1 SPU	yakii
   1 SPU	viluchayut
   1 SPU	bez
   1 SPU	Odnak
   1 SPU	Facebook
   1 SHirokosmugovij	iinternet
   1 SHimkiiv	Pravo
   1 SHanya	Na
   1 SCHo	zrobiti
   1 SCHe	24
   1 Rudomanov	Zrujnovanij
   1 Rudomanov	YAk
   1 Robota	zii
   1 Robota	bez
   1 Riichnicya	Majdanu
   1 Reshenie	sovetskogo
   1 Reklama	na
   1 Redakciiya	Reklama
   1 Radii	Ukrayini
   1 Radi	z
   1 Radi	majbutniij
   1 Radi	URSR
   1 Radi	Oleksandr
   1 RUS	UKR
   1 RSS	alternate
   1 Publiikaciiyi	Pravo
   1 Prote	viin
   1 Prote	takij
   1 Prote	Sociialiistichna
   1 Progresivna	sociialiistichna
   1 Proekt	IInstitutu
   1 Prezidentovii	U
   1 Pravo	na
   1 Pozhivanov	Veterani
   1 Pomilka	v
   1 Pol	zovatel
   1 Poki	klasichnii
   1 Pochinayuchi	z
   1 Pevnoyu	vtiihoyu
   1 Petra	Simonenka
   1 Petr	ZHuravel
   1 Peredruk	kopiiyuvannya
   1 Perebuvannya	na
   1 Pavlovs	kij
   1 Paralel	no
   1 PageView	noscript
   1 PCU	U
   1 PCU	Hmel
   1 Ottok	rabochej
   1 Otmena	moratoriya
   1 Osnovnij	Zakon
   1 Orvellom	nova
   1 Onufriiya	U
   1 Onufriiya	Piisnii
   1 Oliijnik	znyav
   1 Oleksiij	Kostusiev
   1 Oleksandru	Tkachenku
   1 Oleksandr	Tkachenko
   1 Oleg	Sencov
   1 Oleg	Baturin
   1 Okrilenij	takim
   1 Oj	ce
   1 Odnoklassniki	Google
   1 Odnak	taka
   1 Odnak	prodovzhiti
   1 Odnak	perebuvati
   1 Odnak	cya
   1 Odnak	ce
   1 Odesi	Oleksiij
   1 Ob	iednavshi
   1 OTG	Vmesto
   1 ONMedU	Rosiijs
   1 ONMedU	Kabmiin
   1 O	Tkachenko
   1 O	Moroza
   1 O	Moroz
   1 Novini	j
   1 Novini	Publiikaciiyi
   1 Novini	Poliitika
   1 Niikolaienko	majbutniij
   1 Nezalezhnostii	bulo
   1 Nezadoviil	nij
   1 Neviplata	praciivnikam
   1 Nevazhlivo	hto
   1 Nejmiller	Menyaya
   1 Nataliiyu	Viitrenko
   1 Nataliiya	SHimkiiv
   1 Narodnye	izbranniki
   1 Nariiman	Dzhelyalov
   1 Naprikiincii	1995
   1 Naftogazom	Viiktoriiya
   1 Naftogazom	U
   1 Nadiislati	Oj
   1 Na	fone
   1 Moroza	u
   1 Moroza	O
   1 Moroz	zupinivsya
   1 Moroz	zajnyav
   1 Moroz	us
   1 Moroz	u
   1 Moroz	stav
   1 Moroz	prodovzhuyuchi
   1 Moroz	oprilyudniv
   1 Mit	Skolov
   1 Mistectvo	proti
   1 Mirgoroda	Kvitki
   1 Mikola	Golomsha
   1 Miiniistr	vnutriishniih
   1 Miiniistr	osviiti
   1 Miiniistr	ekonomiiki
   1 Mihajlo	Pozhivanov
   1 Mi	radii
   1 Menyaya	Ukrainu
   1 Mel	nichenka
   1 Medreforma	IInstrukciiya
   1 Matola	Volodimir
   1 Marchuka	a
   1 Marchenka	ii
   1 Makeienko	prodovzhili
   1 Majzhe	piivtora
   1 Majdanu	Viijna
   1 MVF	vryatuvali
   1 LinkedIn	Avtorizuyas
   1 Like	Spectemy
   1 Like	Publiikaciiyi
   1 Liivogo	centru
   1 Leoniidu	Kuchmii
   1 Leoniidu	Kravchuku
   1 Leoniida	Kuchmu
   1 Leoniida	Kuchmi
   1 La	la
   1 Kyrgyzstana	kachestvom
   1 Kvitki	na
   1 Kuchmu	ii
   1 Kuchmii	ii
   1 Kuchmi	u
   1 Kuchmi	ce
   1 Kucenko	Robota
   1 Kravchuku	Prote
   1 Kostusiev	Odnak
   1 Konstituciiyi	bez
   1 Konstituciiyi	Ukrayini
   1 Konstituciijnogo	dogovoru
   1 Konstituciijnogo	Sudu
   1 KishkiNa	Avtokefaliiya
   1 Kiieva	Oprilyudneno
   1 Kiieva	Neviidomii
   1 Kiev	Sergej
   1 KPU	u
   1 KPU	KPRS
   1 KPRS	ne
   1 KPRS	SCHe
   1 J	hocha
   1 INS	Publiikaciiyi
   1 INS	Proekt
   1 INS	CHitajte
   1 IIsnuie	chiitkij
   1 IInstrukciiya	do
   1 IInstitutu	Gorsheniina
   1 IIIIII	sklikannya
   1 IIII	sklikannya
   1 IEvropejs	kij
   1 IEvgena	Marchuka
   1 IE	prostij
   1 Homutec	mozhna
   1 Homutcya	V
   1 Homutcii	nemaie
   1 Hejlo	Zemlya
   1 Hejlo	Uvelichenie
   1 Hejlo	Gor
   1 Grupa	zaboroneno
   1 Groshii	zarobiitchan
   1 Grojsmana	23
   1 Goshovs	kogo
   1 Gorsheniina	Redakciiya
   1 Gor	kaya
   1 Google	Twitter
   1 Gongadze	Pochinayuchi
   1 Golovoyu	Verhovnoyi
   1 Golovna	Blogi
   1 Golovi	Verhovnoyi
   1 Golova	Verhovnoyi
   1 Golova	Fondu
   1 Golova	Antimonopol
   1 Golomsha	Tizhden
   1 Glavi	derzhavi
   1 Georgiiya	Gongadze
   1 Gandzyuk	Oleg
   1 Foto	most
   1 Foto	Grupa
   1 Fondu	derzhmajna
   1 Fiischuk	SHirokosmugovij
   1 Facebook	ii
   1 Facebook	Odnoklassniki
   1 Esli	ne
   1 ENG	Novini
   1 Dzhelyalov	pro
   1 Drugie	zapisi
   1 Dos	ie
   1 Donbasii	Vbivstvo
   1 DepositPhotos	tr
   1 Denis	Nejmiller
   1 Denis	Bloschinskij
   1 Dalii	bude
   1 Cushko	majbutniij
   1 CHitajte	takozh
   1 CHitajte	golovnii
   1 CHerez	sociial
   1 Borotisya	z
   1 Bloschinskij	Mistectvo
   1 Blogi	Poliitika
   1 Blogi	K
   1 Blogi	Foto
   1 Blogi	Blog
   1 Blog	Volodimira
   1 Bez	zmiini
   1 Baturin	La
   1 Bat	kiivschina
   1 BUTTON	Riichnicya
   1 Avtorizuyas	na
   1 Avtori	Arhiiv
   1 Avtokefaliiya	Hmel
   1 Arhiiv	Novini
   1 Andriij	Pavlovs
   1 Ampliituda	cih
   1 Ale	manevri
   1 Afganistan	okazalos
   1 ATO	sam
   1 84	shtiki
   1 8	6
   1 7	millionov
   1 6	golosiiv
   1 57	Sociialiisti
   1 56	Denis
   1 54	Mikola
   1 50	Oleksandr
   1 5	10
   1 440471506375777	ev
   1 42	Galina
   1 414378_mi_radi_shcho_vdalosya_vikonati	html
   1 414278_orvellom_nova_informatsiyna	html
   1 414096_simvolichni_dari_i_realni_za	grozi
   1 413620_pravo_diietu_yak_domogtisya	html
   1 401158_medreforma_instruktsiya	html
   1 40	Piisnii
   1 40	Nespodiivana
   1 38	Mihajlo
   1 35	deputatiiv
   1 35	Andriij
   1 3	biil
   1 29	Spisok
   1 29	INS
   1 29	413620_pravo_diietu_yak_domogtisya
   1 28	listopada
   1 28	chervnya
   1 27	zhovtnya
   1 27	28
   1 26	zhovtnya
   1 24	serpnya
   1 23	travnya
   1 23	401158_medreforma_instruktsiya
   1 2020	goda
   1 2018	11
   1 2018	06
   1 2016	17
   1 2016	15
   1 2016	13
   1 2014	15
   1 2000	roku
   1 2000	riik
   1 20	lipnya
   1 20	Spravedlivij
   1 2	http
   1 1999	rocii
   1 1998	roku
   1 1996	roku
   1 1996	rocii
   1 1995	roku
   1 1995	rocii
   1 1994	roku
   1 1993	rocii
   1 19	Denis
   1 19	19
   1 18	kviitnya
   1 18	35
   1 18	00
   1 17	29
   1 16	Staniislav
   1 15	yiyi
   1 15	57
   1 15	20
   1 15	13
   1 15	01
   1 14	INS
   1 14	54
   1 13	Oleg
   1 13	50
   1 13	14
   1 12	siichnya
   1 12	Galina
   1 12	38
   1 12	08
   1 12	07
   1 12	06
   1 12	04
   1 11	42
   1 11	3
   1 11	29
   1 11	16
   1 10	dolariiv
   1 10	29
   1 10	12
   1 1	Znajdena
   1 09	56
   1 08	Oleksandr
   1 07	414378_mi_radi_shcho_vdalosya_vikonati
   1 06	414278_orvellom_nova_informatsiyna
   1 06	23
   1 04	414096_simvolichni_dari_i_realni_za
   1 01	Sergej
   1 00	Valeriij
