   8 Pereviireno	Zberegti
   1 chas	svyatkovih
   1 chas	buli
   1 chas	brifiingu
   1 chas	Marshu
   1 chas	IEvromajdanu
   1 ce	viin
   1 ce	pereroslo
   1 ce	liivij
   1 buv	odnoriidnij
   1 buli	nosiiyami
   1 buli	nelegal
   1 bu	protiriich
   1 brifiingu	Kiyiv
   1 borot	bu
   1 borot	bii
   1 bokiiv	CHotir
   1 bliz	ko
   1 biiznesu	na
   1 biil	shovikami
   1 biil	shiist
   1 biik	protestiiv
   1 biik	borot
   1 biidnimi	58
   1 bii	z
   1 bi	z
   1 bi	proti
   1 bereznya	2017
   1 bagatoriichnogo	liidera
   1 bagatimi	ta
   1 azh	do
   1 avtoritarnogo	staliiniizmu
   1 arabs	liivimi
   1 apelyaciiyi	prizupinili
   1 antioliigarhiichnii	gasla
   1 anarhiizmu	viid
   1 anarhiists	kii
   1 amp	noscript
   1 amp	ev
   1 al	yansi
   1 admiiniistrativnogo	sudu
   1 abo	zaboroni
   1 aNoviniProgramiFotoViideo	Pro
   1 a	z
   1 a	viidpoviidne
   1 a	takozh
   1 a	podekudi
   1 Zmiinyuvalisya	j
   1 Zgiidno	z
   1 Zberegti	Viglyad
   1 Zberegti	Rozdiili
   1 Zberegti	Poliitika
   1 Zavershilisya	demonstraciiyi
   1 Za	rezul
   1 Za	nove
   1 Za	najchastiishe
   1 ZHuravlya	Pereviireno
   1 Z	nagodi
   1 Z	19
   1 YAroslava	ZHuravlya
   1 YAnukovicha	A
   1 Vodnochas	na
   1 Viin	prodovzhuie
   1 Viin	majzhe
   1 Viiktora	YAnukovicha
   1 Viid	odnogo
   1 Viid	nul
   1 Viid	VR
   1 Viid	Simonenka
   1 Viid	Central
   1 Viglyad	lead
   1 Verhovnoyi	Radi
   1 VazhlivoVazhlivo	Pereviireno
   1 VR	Popri
   1 V	yacheslav
   1 UviijtiPiidtrimati	UKRAYINA
   1 Utiim	iiz
   1 Utiim	ii
   1 Ukrayinoyu	nezalezhnostii
   1 Ukrayinki	ta
   1 Ukrayinka	Najbiil
   1 Ukrayinii	zareiestrovana
   1 Ukrayinii	viidznachayut
   1 Ukrayinii	prodovzhuyut
   1 Ukrayinii	narazii
   1 Ukrayinii	do
   1 Ukrayini	v
   1 Ukrayini	ta
   1 Ukrayini	Sociialiizm
   1 Ukrayini	Sergiij
   1 Ukrayini	Pereviireno
   1 Ukrayini	1994
   1 UNIIAN	SCHodo
   1 UNIIAN	Piid
   1 UNIIAN	Diialektichnij
   1 UKRAYINA	28
   1 UKRAYINA	27
   1 UKRAYINA	18
   1 UKRAYINA	12
   1 UKRAYINA	11
   1 U	poltavs
   1 U	pam
   1 Troc	kogo
   1 Tradiciijno	liivii
   1 Togochasnii	ukrayins
   1 Tak	za
   1 Tak	iisnuie
   1 Sviidoctva	pro
   1 Sumniivnii	poliitichnii
   1 Staliinim	Vodnochas
   1 Sprobu	zaboroni
   1 Socpartiiyi	pobili
   1 Socpartiiyi	IIllya
   1 Sociialiizm	v
   1 Sociialiistichnij	IInternaciional
   1 Sociialiistichna	partiiya
   1 Sociialiisti	piid
   1 Sociial	Demokratichnoyi
   1 Simonenko	yak
   1 Simonenka	do
   1 Simonenka	Sviidoctva
   1 Sergiiya	Kapliina
   1 Sergiiiem	L
   1 SRSR	zahistu
   1 SRSR	za
   1 SRSR	prodovzhuvali
   1 SRSR	naniis
   1 SPU	vprodovzh
   1 SPU	priviiv
   1 SPU	porvati
   1 SPU	kolishniij
   1 SHabuniina	Pereviireno
   1 SDP	narodnij
   1 SCHodo	liivogo
   1 SCHo	treba
   1 SAP	Pereviireno
   1 Rozdiili	ta
   1 Rosiijs	koyi
   1 Riishennya	pro
   1 Revolyuciiyi	1917
   1 Ratins	kij
   1 Raniishe	poviidomlyalosya
   1 Radyans	koyi
   1 Radi	do
   1 Radi	chotiri
   1 Programi	UviijtiPiidtrimati
   1 Pro	te
   1 Pro	proektVakansiiyiDe
   1 Pro	ce
   1 Pro	Gromads
   1 Pov	yazanii
   1 Popri	te
   1 Popri	neviznachenij
   1 Popri	chlenstvo
   1 Popri	ce
   1 Popri	antioliigarhiichnii
   1 Pomarancheviij	Moroza
   1 Poliitika	8
   1 Podiilitis	Zberegti
   1 Podiilitis	Pov
   1 Piidtrimati	
   1 Piid	zaboronu
   1 Piid	chas
   1 Petro	Simonenko
   1 Petra	Simonenka
   1 Pershotraven	ziigrav
   1 Pershotraven	viidbuvsya
   1 Pershij	ukrayins
   1 Pered	L
   1 PageView	amp
   1 Ostannya	ie
   1 Oleksandra	Ostannya
   1 Oleksandra	Moroza
   1 Okruzhnogo	admiiniistrativnogo
   1 Odnak	znachnu
   1 Odnak	zii
   1 Odnak	perevazhna
   1 Novini	Programi
   1 Nazvanii	partiiyi
   1 Nazhivo	Novini
   1 Narkopoliiciiyi	Liider
   1 Narazii	rozglyad
   1 Najbiil	shogo
   1 Nacpoliiciiyi	IIllya
   1 Na	teritoriiyi
   1 Moroza	vviijshla
   1 Moroza	Konfliikt
   1 Miizhnarodnogo	dnya
   1 Mihajla	Dragomanova
   1 MVS	ta
   1 Liivii	partiiyi
   1 Liider	Sociial
   1 Liider	SPU
   1 Lesya	Ukrayinka
   1 Lesii	Ukrayinki
   1 LGBT	organiizaciij
   1 LGBT	demonstraciiyam
   1 L	viivs
   1 L	va
   1 Krimu	ta
   1 Kremlem	Viid
   1 KontaktiFiinansovii	zviitiTenderiReklamaPoliitikiGromadskoeHromadske
   1 Konstituciijnij	sud
   1 Konservativnii	komuniisti
   1 Konfliikt	u
   1 Konfliikt	miizh
   1 Kiyiv	6
   1 Kivu	viklyuchili
   1 Kivu	pozbavili
   1 Kiva	napisav
   1 Kiivu	radnika
   1 Kiivi	viidomogo
   1 Kiivi	chitajte
   1 Kiivi	Zgiidno
   1 Kiiva	zayaviv
   1 Kiiva	piid
   1 Kiiva	Podiilitis
   1 Kiievii	9
   1 Kiieva	Narazii
   1 Kapliina	ta
   1 Kapliina	ne
   1 Kapliin	piid
   1 Kapliin	Popri
   1 KPU	zasudila
   1 KPU	tiisno
   1 KPU	odnak
   1 KPU	Petra
   1 Josipom	Staliinim
   1 International	nazvavshi
   1 IIvana	Franka
   1 IInternaciional	miizhnarodne
   1 IIllyu	Kiivu
   1 IIllya	Kiva
   1 IIgor	CHekachkov
   1 IIgor	Burdiga
   1 IEvromajdanu	na
   1 IEdinogo	derzhreiestru
   1 IES	ta
   1 Hreschatikom	piid
   1 Hoda	uchasnikiiv
   1 Harkovii	1
   1 Gromads	kogo
   1 Gromads	ke
   1 Golovu	sociial
   1 Foto	V
   1 Foto	UNIIAN
   1 Foto	IIgor
   1 Facebook	Raniishe
   1 Engel	sa
   1 EkonomiikaViijnaRozsliiduvannyaSviitPoliitikaKul	turaTehnologiiyiZHitty
   1 Drugij	Sociialiistichnij
   1 Dragomanova	pershij
   1 Donechchini	zamiist
   1 Donbasu	zaklikavshi
   1 Donbasii	spodiivayuchis
   1 Donal	da
   1 Dnya	peremogi
   1 Dnem	soliidarnostii
   1 Diialektichnij	materiialiizm
   1 Departamentu	po
   1 Den	pam
   1 Demokratichnoyi	partiiyi
   1 Central	noyi
   1 Central	niij
   1 Ce	chastkovo
   1 CPK	SHabuniina
   1 CHvert	opitanih
   1 CHotir	oh
   1 CHikago	proveli
   1 CHekachkov	UNIIAN
   1 Burdiga	1
   1 Biil	she
   1 Avakova	ta
   1 Arsena	Avakova
   1 Amnesty	International
   1 Admiiniistraciiyi	prezidenta
   1 Abros	kiina
   1 A	konfliikt
   1 8	travnya
   1 8	lipnya
   1 669742006759564	amp
   1 6	zhovtnya
   1 58	zbiil
   1 58	2
   1 4	tisyach
   1 28	siichnya
   1 28	UKRAYINA
   1 27	siichnya
   1 2018	za
   1 2018	U
   1 2018	IIllyu
   1 2018	20
   1 2018	13
   1 2017	SCHo
   1 2017	Kiva
   1 2017	Kiiva
   1 2015	rokiiv
   1 2014	2015
   1 2005	rocii
   1 20	58
   1 2	lipnya
   1 1994	roku
   1 1990	h
   1 1917	roku
   1 19	poliitichnih
   1 18	travnya
   1 17	buli
   1 16	zmenshennya
   1 16	ta
   1 15	partiij
   1 13	28
   1 12	zhovtnya
   1 11	bereznya
   1 1	Nazhivo
