   6 ять	І
   1 сфери	водночас
   1 стати	джерелом
   1 стати	гарантом
   1 стане	допомога
   1 світі	осередок
   1 своїм	акаунтом
   1 окрім	етичного
   1 облік	ведуться
   1 людей	працюють
   1 книги	архівної
   1 змогу	виводити
   1 звіти	імітуючи
   1 задум	потребує
   1 деякі	сміливці
   1 Помер	останній
   1 Пласт	скаутинг
   1 часто	плодить
   1 цьому	натовпі
   1 уваги	держави
   1 такої	реформи
   1 собою	функції
   1 рівні	архівам
   1 пошук	предків
   1 намір	описати
   1 назву	Гашомер
   1 назад	Стрибок
   1 можна	назвати
   1 менти	тиснули
   1 мають	негайно
   1 ззаду	тиснули
   1 життя	архівів
   1 давно	назріла
   1 війни	архівні
   1 важко	назвати
   1 брата	Зокрема
   1 базою	питання
   1 архів	створив
   1 ЖИТТЯ	ІСТОРІЯ
   1 Ірини	Бокової
   1 язків	Справа
   1 щодня	зжирає
   1 хтось	чудово
   1 описи	фондів
   1 одним	словом
   1 місті	Львові
   1 можна	уявити
   1 мають	заново
   1 взяло	участь
   1 бодай	когось
   1 ФОРУМ	ЄВРОПА
   1 Світу	ЮНЕСКО
   1 Логін	Пароль
   1 Деякі	архіви
   1 через	угоди
   1 цього	факту
   1 стане	базою
   1 своєю	суттю
   1 першу	чергу
   1 новий	читач
   1 мають	стати
   1 кожен	архів
   1 зобов	язана
   1 епосі	Життя
   1 дають	змогу
   1 група	людей
   1 Пласт	Однак
   1 Запам	ятати
   1 Білої	книги
   1 БЛОГИ	ФОРУМ
   1 язана	буде
   1 читач	будь
   1 цьому	комп
   1 рисах	вона
   1 мають	бути
   1 гасло	Геть
   1 вбито	усіх
   1 Окрім	того
   1 Однак	досі
   1 Коржа	Тоді
   1 Асада	Інші
   1 часто	під
   1 угоди	про
   1 пункт	але
   1 міфів	які
   1 можна	вже
   1 людей	без
   1 копії	які
   1 копії	Для
   1 есеїв	Сто
   1 базою	для
   1 Світу	був
   1 Довга	ніч
   1 ятати	на
   1 часто	на
   1 факту	як
   1 суттю	та
   1 речей	на
   1 місці	та
   1 людей	до
   1 кроки	до
   1 кризи	на
   1 Росія	не
   1 Однак	це
   1 числі	в
   1 фонду	у
   1 сфері	в
   1 кроки	є
   1 даних	А
   1 влити	в
   1 виник	і
   1 Шукай	в
   1 Життя	в
   1 Вчені	з
   1 Архів	П
   1 друку	e3be68f
   1 архів	dbd0795
   1 також	Quo
   1 ШАЛОМ	INT
   1 знято	7e176a8
   1 кінця	2017
   1 ночей	1921
   1 гетто	02
   1 тощо	Інтернаціональний
   1 язки	Застосування
   1 фонд	користування
   1 його	російського
   1 бути	впроваджено
   1 була	звинувачена
   1 буде	забезпечити
   1 Доля	українських
   1 який	відповідав
   1 роль	останнього
   1 було	можливості
   1 Світ	змінюється
   1 усіх	сільських
   1 тощо	Зростання
   1 стан	більшості
   1 риси	становища
   1 наук	заступник
   1 може	слугувати
   1 далі	продовжує
   1 вона	зводиться
   1 бути	стратегія
   1 бути	викладені
   1 язки	провести
   1 хати	завітали
   1 усіх	відділів
   1 слід	постійно
   1 року	колекція
   1 лише	загальні
   1 лайн	виставку
   1 його	сателіта
   1 було	потрібно
   1 було	знайдено
   1 була	включена
   1 акти	старшого
   1 Леся	Бондарук
   1 чого	змінити
   1 часи	агресії
   1 фонд	України
   1 того	жодного
   1 того	архівам
   1 теми	Архівні
   1 крик	дружини
   1 досі	забутим
   1 КПРС	Міхаіла
   1 яких	наразі
   1 який	хочемо
   1 того	навіть
   1 стаж	роботи
   1 року	впадає
   1 роки	тісної
   1 нові	зразки
   1 мені	відомо
   1 було	раніше
   1 Теми	архіви
   1 Крок	уперед
   1 тощо	Окрім
   1 тому	числі
   1 стан	речей
   1 роки	Росія
   1 може	стати
   1 мати	образ
   1 лайн	деякі
   1 комп	ютері
   1 коли	менти
   1 було	знято
   1 було	вбито
   1 будь	ласка
   1 Тому	гасло
   1 Мене	ззаду
   1 Інші	факти
   1 часу	коли
   1 таке	інше
   1 року	була
   1 план	лише
   1 мало	бути
   1 звіт	план
   1 були	роки
   1 Юрій	Юзич
   1 Крім	того
   1 яких	має
   1 тези	про
   1 році	все
   1 одну	ніч
   1 мене	Час
   1 віку	які
   1 будь	яка
   1 Геть	від
   1 інше	Не
   1 чому	це
   1 факт	що
   1 самі	ім
   1 ролі	та
   1 року	та
   1 року	до
   1 року	Ці
   1 року	Ми
   1 план	ця
   1 лише	на
   1 звіт	за
   1 десь	на
   1 груп	на
   1 Якщо	ви
   1 Хоча	на
   1 Отже	на
   1 Вона	як
   1 Бога	на
   1 одну	з
   1 наші	я
   1 лише	з
   1 кулю	в
   1 живе	в
   1 бази	є
   1 Тоді	в
   1 зони	WiFi
   1 Юзич	36677ef
   1 Йорк	21
   1 ПРО	ПРОЕКТЗВОРОТНІЙ
   1 про	Чорнобильську
   1 яка	неодноразово
   1 тис	користувачів
   1 під	керівництвом
   1 при	необхідності
   1 має	підтримувати
   1 для	коментування
   1 Для	користувачів
   1 яка	сканувальна
   1 яка	намагається
   1 під	переляканий
   1 для	української
   1 для	дослідників
   1 від	справжнього
   1 Для	авторизації
   1 час	руйнування
   1 про	соборність
   1 має	базуватися
   1 для	формування
   1 був	підписаний
   1 без	профільної
   1 без	постійного
   1 США	інвестицій
   1 США	Польського
   1 Без	додаткових
   1 які	складають
   1 цій	невеликій
   1 цих	локальних
   1 там	насправді
   1 сам	проводити
   1 про	співпрацю
   1 про	включення
   1 при	нагальній
   1 всі	попередні
   1 Яна	Тимошенко
   1 які	працюють
   1 яка	отримала
   1 тлі	слабкого
   1 для	інтернет
   1 для	можливої
   1 вже	зроблена
   1 але	присутні
   1 ХХІ	сторіччя
   1 Для	прикладу
   1 які	містять
   1 тих	далеких
   1 тис	установ
   1 тим	суттєво
   1 про	історію
   1 про	Бандеру
   1 має	сприяти
   1 Він	побачив
   1 так	щільно
   1 так	званої
   1 про	Євгена
   1 мій	погляд
   1 має	досвід
   1 для	оплати
   1 він	просто
   1 від	Москви
   1 все	більше
   1 вже	приніс
   1 без	різних
   1 або	масове
   1 які	часто
   1 які	дають
   1 тим	самим
   1 під	своїм
   1 має	стати
   1 маю	намір
   1 для	друку
   1 два	назад
   1 вже	взяло
   1 баз	даних
   1 США	Музею
   1 ЗМІ	цикли
   1 ніч	було
   1 має	бути
   1 від	часу
   1 Сто	слів
   1 СБУ	Доля
   1 Про	Бога
   1 Нью	Йорк
   1 під	час
   1 пам	яті
   1 Час	від
   1 яті	та
   1 які	до
   1 яка	за
   1 хто	за
   1 теж	не
   1 рік	На
   1 вже	як
   1 але	не
   1 або	як
   1 Він	не
   1 Всі	ці
   1 яті	і
   1 ніч	з
   1 для	FamilySearch
   1 на	загальноукраїнському
   1 та	розповсюдження
   1 та	реставраційних
   1 та	культурницьких
   1 чи	архівознавчої
   1 та	репрезентації
   1 та	національними
   1 та	краудсорсингу
   1 та	запровадження
   1 та	обговорювати
   1 та	недосконалої
   1 На	міжнародному
   1 що	керівництво
   1 ще	залишається
   1 та	центральних
   1 та	український
   1 та	телепередач
   1 та	національні
   1 та	міжнародним
   1 та	аутсорсингу
   1 не	забезпечені
   1 на	дослідження
   1 на	Українській
   1 де	користувачі
   1 На	Прикарпатті
   1 ЗВ	ЯЗОКРЕКЛАМА
   1 як	дослідники
   1 що	інформація
   1 що	сертифікат
   1 це	ініціатива
   1 це	мавпування
   1 це	досягнення
   1 та	пропозицій
   1 та	паритетною
   1 та	нормативні
   1 та	збільшення
   1 та	директорів
   1 за	ініціативи
   1 за	паперовими
   1 за	невеликими
   1 за	важливістю
   1 до	індексації
   1 до	поліпшення
   1 до	документів
   1 Не	відкидаючи
   1 НА	САЙТІАРХІВ
   1 її	прикладом
   1 як	польський
   1 що	корисного
   1 що	концепція
   1 ще	актуально
   1 це	закупівля
   1 та	іноземних
   1 та	цинічними
   1 та	створення
   1 та	одночасно
   1 та	архівісти
   1 не	працювали
   1 не	матєрілся
   1 не	зрозуміло
   1 не	вигукував
   1 на	співпрацю
   1 на	противагу
   1 на	периферії
   1 на	отримання
   1 на	Історичну
   1 за	ідеологію
   1 за	прикладом
   1 як	справжні
   1 що	майбутні
   1 ці	принципи
   1 ця	ситуація
   1 ця	паперова
   1 та	створити
   1 та	передача
   1 та	архівної
   1 не	останній
   1 не	заважати
   1 на	практиці
   1 за	потрібне
   1 за	окремими
   1 до	проектів
   1 до	вбивства
   1 як	приклад
   1 як	правило
   1 як	Україна
   1 це	принцип
   1 та	програм
   1 та	окремих
   1 не	завдяки
   1 на	першому
   1 на	керівні
   1 на	Фейсбук
   1 на	Майдані
   1 зі	стійким
   1 за	рахунок
   1 за	першими
   1 до	архівів
   1 На	початку
   1 На	порядок
   1 із	пошуку
   1 як	єдиний
   1 як	мантру
   1 що	навіть
   1 що	зомлію
   1 що	восени
   1 цю	довіру
   1 це	більше
   1 ті	заходи
   1 та	онлайн
   1 та	обліку
   1 та	навіть
   1 та	зручні
   1 по	голові
   1 не	тільки
   1 не	вважає
   1 на	стадії
   1 на	посаді
   1 на	перший
   1 на	одного
   1 на	кшталт
   1 на	вулицю
   1 на	архіви
   1 за	спиною
   1 за	лічені
   1 до	такого
   1 до	однієї
   1 Ми	стояли
   1 Ви	можете
   1 ще	вчора
   1 чи	копії
   1 чи	варто
   1 це	часто
   1 та	інших
   1 та	шляхи
   1 та	часто
   1 та	облік
   1 не	можна
   1 на	цьому
   1 зв	язків
   1 за	собою
   1 за	своєю
   1 до	цього
   1 до	появи
   1 ви	новий
   1 бо	окрім
   1 що	мало
   1 це	мати
   1 це	лише
   1 це	було
   1 ті	самі
   1 та	живе
   1 не	може
   1 на	яких
   1 на	тези
   1 на	стан
   1 до	хати
   1 до	того
   1 ЦК	КПРС
   1 як	вже
   1 що	там
   1 що	вже
   1 на	тлі
   1 на	рік
   1 на	мій
   1 зі	ЗМІ
   1 де	вже
   1 як	це
   1 як	до
   1 що	не
   1 це	те
   1 та	як
   1 та	зв
   1 та	за
   1 не	те
   1 на	це
   1 де	як
   1 їм	в
   1 ім	я
   1 що	і
   1 що	у
   1 що	в
   1 до	30
   1 на	11
   1 і	малодослідженим
   1 в	інформаційному
   1 і	невмотивовані
   1 у	європейський
   1 у	Варшавському
   1 а	Укрдержархів
   1 і	температури
   1 і	переповнені
   1 і	максимально
   1 р	Керівництво
   1 і	тематичних
   1 є	унікальною
   1 є	нормальною
   1 р	Незважаючи
   1 з	системними
   1 з	посиланням
   1 ж	Фотографія
   1 в	українську
   1 і	фактичної
   1 і	наскільки
   1 у	секретаря
   1 у	підтримці
   1 у	відкритий
   1 з	Січеслава
   1 в	найкращих
   1 в	Європіані
   1 В	загальних
   1 І	спровокує
   1 І	дозволять
   1 і	виходила
   1 і	апелюють
   1 є	частиною
   1 є	приклади
   1 є	кризовий
   1 у	місячний
   1 з	римської
   1 з	окремими
   1 з	головних
   1 з	архівами
   1 в	сучасних
   1 в	нинішніх
   1 в	багатьох
   1 в	Інтернет
   1 Ю	ГОЛОКОСТ
   1 В	ятровичу
   1 А	покарати
   1 і	відомий
   1 у	ракурсі
   1 у	пошуках
   1 у	вільний
   1 р	Подібні
   1 р	Близько
   1 з	ясували
   1 з	бюджету
   1 в	частині
   1 в	форматі
   1 в	столиці
   1 в	останні
   1 в	окремих
   1 А	держава
   1 і	перший
   1 і	пароль
   1 і	жіноча
   1 і	більше
   1 є	цінним
   1 я	навіть
   1 у	царині
   1 у	прірву
   1 в	ідеалі
   1 в	старих
   1 в	режимі
   1 в	орбіті
   1 а	штатні
   1 В	умовах
   1 В	Путіна
   1 і	Пласт
   1 є	вкрай
   1 у	цьому
   1 у	місті
   1 р	Варто
   1 в	цьому
   1 в	світі
   1 в	першу
   1 в	новій
   1 в	груди
   1 в	Росії
   1 а	часто
   1 а	після
   1 Б	Асада
   1 і	таке
   1 в	чому
   1 в	часи
   1 в	одну
   1 В	одну
   1 І	Вона
   1 і	тим
   1 і	під
   1 і	для
   1 з	тих
   1 в	цій
   1 І	або
   1 і	це
   1 і	не
   1 А	не
   1 І	це
   1 І	не
   1 і	у
   1 я	і
   1 а	в
   1 І	В
   1 в	2018
   1 з	10
   1 vadis	Крок
   1 png	Twitter
   1 png	Facebook
   1 kipiani	jpg
   1 jpg	Загальновідомо
   1 jpg	Оцифрування
   1 jpg	Анатолій
   1 jpg	Вахтанг
   1 jpg	Валерій
   1 jpg	Архівна
   1 jpg	60
   1 ico02	png
   1 ico01	png
   1 e3be68f	135
   1 e369730	1
   1 digitalarchives	цифрові
   1 dbd0795	4
   1 adc6f43	4
   1 ____________________	Українська
   1 _	Понеділок
   1 _	Вахтанг
   1 _	Юрій
   1 _	Леся
   1 _	Яна
   1 X	Запам
   1 WiFi	банківські
   1 Twitter	
   1 RSS	ЗНАЙТИ
   1 Quo	vadis
   1 L	INS
   1 INT	L
   1 INS	Коротко
   1 INS	ТАБЛОID
   1 INS	Теми
   1 INS	П
   1 FamilySearch	США
   1 Facebook	ico02
   1 8899	jpg
   1 7e807325	kipiani
   1 7e176a8	123
   1 7da92b6	3
   1 75b471b	7e807325
   1 72d0794	8899
   1 7	мобільні
   1 60	Тамара
   1 60	215
   1 5	а
   1 47	Посольство
   1 43	2010
   1 4	jpg
   1 4	0
   1 36677ef	137
   1 30	тис
   1 3	роки
   1 3	jpg
   1 28	12
   1 2663586	2
   1 25	12
   1 24	7
   1 24	12
   1 22	Версія
   1 215	60
   1 21	століття
   1 21	12
   1 2018	Українська
   1 2018	році
   1 2018	року
   1 2018	15
   1 2013	року
   1 2010	2018
   1 20	серпня
   1 2	тис
   1 2	jpg
   1 1986	року
   1 1943	КАНАДІАНА
   1 1921	року
   1 19	На
   1 15	22
   1 137	jpg
   1 135	jpg
   1 123	jpg
   1 11	грудня
   1 100	РЕФОРМАЦІЯ
   1 10	на
   1 1	jpg
   1 07	Вінницький
   1 05	19
   1 05	07
   1 04	47
   1 04	00
   1 02	43
   1 00	Помер
   1 0	jpg
