   6 ob	iednannya
   1 nagovoryuyuchi	na
   1 nadumuyuchi	privodi
   1 nadto	dorogo
   1 nadiiyi	na
   1 nadiiya	XIX
   1 nad	partiiieyu
   1 nachnut	dostavat
   1 nabravshi	2
   1 nabrav	uchetvero
   1 nabranih	PSPU
   1 nabrala	vs
   1 na	yih
   1 na	yakih
   1 na	viidrodzhennya
   1 na	vibori
   1 na	viborah
   1 na	utrimannya
   1 na	ukrayins
   1 na	svoiemu
   1 na	spozhivacha
   1 na	sebe
   1 na	sam
   1 na	riidnomu
   1 na	posadu
   1 na	pobedu
   1 na	piidozriiliist
   1 na	pershij
   1 na	parlaments
   1 na	osobistii
   1 na	nemozhliviist
   1 na	mozhlivih
   1 na	marshrutku
   1 na	liitniih
   1 na	liiderstvo
   1 na	grani
   1 na	drugij
   1 na	dostrokovih
   1 na	diiietu
   1 na	avtostanciiyi
   1 na	agentstvo
   1 na	LB
   1 na	Donbasii
   1 na	CHAES
   1 muzejnaya	sistema
   1 muzeev	Kto
   1 mu	za
   1 mozhna	samostiijno
   1 mozhna	diistatisya
   1 mozhlivostii	Teper
   1 mozhlivih	partneriiv
   1 mozhet	poteryat
   1 most	dnepr
   1 moryakam	http
   1 moral	nih
   1 moment	sociialiistiiv
   1 moment	jogo
   1 molodiizhne	krilo
   1 molodii	na
   1 molodih	sociialiistiiv
   1 mogli	vstignuti
   1 minulim	Vlada
   1 minimum	s
   1 miisyac	stvoriv
   1 miistyat	posilannya
   1 miiscii	U
   1 miisce	zaklyatih
   1 miisce	ii
   1 miis	koyi
   1 miiniistri	sociialiisti
   1 miiniisters	kii
   1 miiniimal	nim
   1 miig	buti
   1 mi	mogli
   1 mi	Tradiciijno
   1 mezhami	parlamentu
   1 mezhami	SPU
   1 meshkancii	IIrpenya
   1 merezhu	Vkontakte
   1 merezhah	Facebook
   1 menshim	zapalom
   1 menshe	peremozhcya
   1 mene	bulo
   1 mazhoritarnomu	okruzii
   1 mayut	stavati
   1 materiialiiv	scho
   1 materiialiiv	pryame
   1 masshtabi	naukovih
   1 mashina	ne
   1 marshrutku	kupuyut
   1 maniipulyaciiyi	ta
   1 mami	Nataliiya
   1 mami	Borotisya
   1 mala	b
   1 maksimal	no
   1 majzhe	polovini
   1 majzhe	192
   1 lyustraciiyi	20
   1 lyudyam	teplo
   1 lyudini	prijnyav
   1 lyud	mi
   1 lyubvi	do
   1 listopada	2011
   1 lishe	yakscho
   1 lishe	partiiyi
   1 lishe	5
   1 lishe	21
   1 lipnya	2016
   1 lipnya	2010
   1 lipnii	serpnii
   1 lipnii	2013
   1 liivocentrists	kih
   1 liivocentris	kih
   1 liivii	lishe
   1 liitniih	z
   1 liikviidatoriiv	nasliidkiiv
   1 liideru	YAk
   1 liiderstvo	z
   1 liiderstva	z
   1 liiders	kih
   1 liidera	partiiyi
   1 liidera	afganciiv
   1 liider	viitchiznyanogo
   1 liider	sociialiistiiv
   1 liholiittya	grozilo
   1 led	utrimalas
   1 lav	partiiyi
   1 kviitnya	2014
   1 kviitnii	2012
   1 kviitnii	2009
   1 kupuyut	sya
   1 kupuvati	18
   1 krizi	10
   1 kritichno	zanedbanij
   1 krilo	Sociialiistichnij
   1 kriisla	Golovi
   1 kraschim	adzhe
   1 krajniim	divom
   1 kozyri	10
   1 koyi	viborchoyi
   1 koyi	miis
   1 koyi	kartki
   1 koyi	derzhavnoyi
   1 kovs	kij
   1 kotoraya	porodit
   1 kostii	zokrema
   1 koshtuvalo	sociialiistam
   1 koshtiiv	a
   1 kopiiyuvannya	viidtvorennya
   1 kontrol	nad
   1 kontaktiiv	z
   1 kontakti	z
   1 konservuyuchi	kritichno
   1 kongres	molodii
   1 komuniistiiv	3
   1 komunal	nij
   1 komu	vlada
   1 komiitetu	z
   1 kombiinatu	iim
   1 komanda	sabotuyut
   1 kolonami	ne
   1 kolishniim	vignancyam
   1 kolishniih	pomaranchevih
   1 kolishnii	miiniistri
   1 kolishn	oyi
   1 kolishn	ogo
   1 koli	mi
   1 kogo	za
   1 kogo	z
   1 kogo	otrimavshi
   1 kogo	demokratichnogo
   1 kogo	anii
   1 kogo	29
   1 koaliiciiyu	kriisla
   1 ko	agiitaciijnoyi
   1 ko	Pochemu
   1 ko	29
   1 knizhok	z
   1 knizhki	Hto
   1 kliiniichnu	smert
   1 kimi	pokaznikami
   1 kim	zradnikom
   1 kim	nasillyam
   1 kim	moryakam
   1 kij	sud
   1 kij	buli
   1 kij	Serpnevij
   1 kij	II
   1 kij	Groshii
   1 kiil	ka
   1 kiij	akciiyi
   1 kii	vibori
   1 kii	sankciiyi
   1 kii	portfelii
   1 kih	viboriiv
   1 kih	uniiversitetiiv
   1 kih	diij
   1 kih	ambiiciij
   1 kih	Rosiijs
   1 kih	Kabmiin
   1 ki	za
   1 ki	koshtiiv
   1 ki	Novini
   1 ki	Golova
   1 keriivnikom	narodnogo
   1 keriivnikiiv	oblasnih
   1 keriivnika	SPU
   1 ke	suspiil
   1 ke	predstavnictvo
   1 kasetnogo	skandalu
   1 kartki	scho
   1 kartinki	15
   1 kapiital	novogo
   1 kandidaturu	na
   1 kampaniiyi	2002
   1 kampaniiya	proti
   1 kampaniiieyu	Rosiijs
   1 kampaniiieyu	Oprilyudneno
   1 kampanii	osnovnye
   1 kak	minimum
   1 kadrova	poliitika
   1 ka	chinovnikiiv
   1 ka	Foto
   1 jti	z
   1 jti	na
   1 jomu	viiddali
   1 jomu	liider
   1 jogo	poliitichnij
   1 jogo	ocholit
   1 jogo	komanda
   1 jogo	kandidaturu
   1 j	porazka
   1 j	poradi
   1 j	otrimati
   1 j	obrav
   1 j	ne
   1 j	kraschim
   1 j	Ukrayins
   1 iz	rukavov
   1 iolochku	Posle
   1 info	Naperedodnii
   1 iiz	viidpoviidnimi
   1 iiz	minulim
   1 iistoriiyu	derzhavi
   1 iinteresi	partiiyi
   1 iinshii	osobi
   1 iinshii	liivii
   1 iinshe	vikoristannya
   1 iinfrastrukturi	11
   1 iinformaciijnih	vkidiiv
   1 iinformaciijna	kampaniiya
   1 iim	IIlliicha
   1 iilyustraciiyami	IInkoli
   1 ii	zdobuv
   1 ii	zabuttya
   1 ii	vivchayuchi
   1 ii	trapilos
   1 ii	todiishnya
   1 ii	sociialiistam
   1 ii	slovom
   1 ii	real
   1 ii	razom
   1 ii	provela
   1 ii	prognozuyuchi
   1 ii	pracyuvala
   1 ii	peredostannya
   1 ii	partiijnu
   1 ii	parlaments
   1 ii	novii
   1 ii	ne
   1 ii	nabrav
   1 ii	masshtabi
   1 ii	liivocentrists
   1 ii	liivocentris
   1 ii	jomu
   1 ii	jogo
   1 ii	hoch
   1 ii	dvoh
   1 ii	diilom
   1 ii	chergovij
   1 ii	avtoritetnih
   1 ii	Twitter
   1 ii	Mikoli
   1 ii	21
   1 ievropejs	kogo
   1 ievropejs	kimi
   1 iednavchij	proces
   1 iednannya	z
   1 iednannya	viklyuchno
   1 iednannya	navkolo
   1 iednannya	U
   1 iedine	scho
   1 ie	Foto
   1 id	440471506375777
   1 i	nemnogo
   1 i	chto
   1 html	Za
   1 html	Simvoliichnii
   1 html	Pravo
   1 html	Mi
   1 html	Medreforma
   1 horoshij	tekst
   1 hochet	sya
   1 hoch	na
   1 harchuvannya	v
   1 guchnim	viidluchennyam
   1 guchne	ogoloshennya
   1 grudnya	vshanovuyuchi
   1 grudnii	2011
   1 grozilo	pererosti
   1 grozi	html
   1 gromadyan	abo
   1 gromads	kostii
   1 griihah	viid
   1 grani	s
   1 grafiik	do
   1 gotuyuchis	do
   1 gotovij	do
   1 gospodarya	Metalurgiijnogo
   1 gorca	Vsii
   1 gorca	19
   1 golovu	partiiyi
   1 golovoyu	partiiyi
   1 golovnii	novini
   1 golovii	partiiyi
   1 golovi	Sociialiistichnoyi
   1 golovi	Fondu
   1 golosiiv	yak
   1 golosiiv	viin
   1 golosiiv	viidtyagnula
   1 golosiiv	posiila
   1 golosiiv	dlya
   1 golosiiv	bloku
   1 golosiiv	abo
   1 golosiiv	Faktichnij
   1 golosi	us
   1 golosi	255
   1 gody	Ukraina
   1 godovschine	Reshenie
   1 godovschine	Mit
   1 goda	muzejnaya
   1 giirshim	5
   1 giiperposilannya	na
   1 generalom	mensh
   1 generala	yaka
   1 ganebnih	rezul
   1 frontovikiiv	maksimal
   1 frakciiya	parlamentu
   1 fiinansuvannya	naviit
   1 fiinansove	zabezpechennya
   1 faktov	17
   1 faktichnogo	gospodarya
   1 faktichnij	kontrol
   1 ev	PageView
   1 ev	Ot
   1 emocii	i
   1 elementarnoyi	partiijno
   1 ekspertami	ta
   1 efektivnoyu	11
   1 efektivnij	shvidkij
   1 dyakuvati	svoyim
   1 dvoriichnoyi	davnini
   1 dvoraundova	duel
   1 dvoh	poperedniih
   1 dvoh	keriivnikiiv
   1 dvoh	Viiktoriiv
   1 dvadcyatiriichnim	stazhem
   1 duel	Oleksandra
   1 drugoyi	osobi
   1 drugij	tur
   1 druga	II
   1 dovelos	zadovol
   1 dosyagnen	ukrayins
   1 dosviidchenij	veteran
   1 dostupnij	zahist
   1 dostavat	iz
   1 dosit	serjozno
   1 doroslim	ne
   1 dorogo	na
   1 dopomogoyu	bankiivs
   1 dopomoglo	anii
   1 dopomogi	ukrayins
   1 domogtisya	speciial
   1 domik	pod
   1 doleyu	ta
   1 dolenosne	yak
   1 dokumentami	zalishit
   1 do	zagrozi
   1 do	vsiih
   1 do	vikoristannya
   1 do	takogo
   1 do	spisku
   1 do	rozglyadu
   1 do	povnoyi
   1 do	pologiiv
   1 do	pam
   1 do	ostann
   1 do	osenii
   1 do	nenavisti
   1 do	najblizhchogo
   1 do	Verhovnoyi
   1 do	Sociialiistichnoyi
   1 dnya	koli
   1 dnepr	info
   1 dlya	sebe
   1 dlya	mene
   1 dlya	liidera
   1 dlya	kolishn
   1 dlya	elementarnoyi
   1 dlya	SCHe
   1 divom	V
   1 diviidendi	lishe
   1 diistatisya	z
   1 diilom	ii
   1 diij	ofiiciijno
   1 diiietu	YAk
   1 derzhmajna	ii
   1 derzhavnu	sluzhbu
   1 derzhavnoyi	admiiniistraciiyi
   1 derzhavna	mashina
   1 derzhavii	nastav
   1 derzhavi	voni
   1 derzhadmiiniistraciij	Vhodzhennya
   1 deputati	iedine
   1 deputata	Ukrayini
   1 deputata	Rezul
   1 deputat	Takim
   1 demokratichnogo	sociialiizmu
   1 delegatiiv	z
   1 delegatiiv	Za
   1 delat	V
   1 decentralizaciej	11
   1 de	zmiig
   1 de	kupuvati
   1 davnini	ii
   1 darovana	Vasilyu
   1 dari	ii
   1 dannyh	
   1 culture	2018
   1 cimi	dokumentami
   1 cim	sliiduvav
   1 cii	riishennya
   1 cih	umovah
   1 chvari	personal
   1 chvari	dvoraundova
   1 chto	delat
   1 cholii	z
   1 cholii	Verhovnoyi
   1 chogo	Oleksandru
   1 chleniiv	SPU
   1 chlena	komiitetu
   1 chisel	niistyu
   1 chinovnikiiv	Vsii
   1 chimalo	zustriichej
   1 chi	prodovzhit
   1 chi	ochiikuie
   1 chi	chastkovogo
   1 chergovij	splesk
   1 chergovij	rozkol
   1 chergovii	vihiidcii
   1 chergovii	parlaments
   1 chergovih	prezidents
   1 chergovih	parlaments
   1 chastkovogo	viidtvorennya
   1 chas	viijni
   1 chas	kasetnogo
   1 chas	jti
   1 celyj	buket
   1 ce	prineslo
   1 ce	ne
   1 ce	ii
   1 c	omu
   1 buv	rozpisanij
   1 buv	podati
   1 buti	vesiil
   1 buti	j
   1 bulo	zrobleno
   1 bulo	zhorstkogo
   1 bulo	praktichno
   1 bulo	krajniim
   1 buli	zmushenii
   1 buli	vzhe
   1 buli	viiddanii
   1 buli	progranii
   1 bulavoyu	Oleksandr
   1 bula	darovana
   1 buket	riskov
   1 boku	sociialiistiiv
   1 boku	prezidenta
   1 bloku	Volodimira
   1 blogiiv	INS
   1 bloga	IEvropejs
   1 blizhajshie	gody
   1 blizhajshie	3
   1 bliz	ko
   1 biil	shiist
   1 bazhayuchi	viznavati
   1 bazhayuchi	rozstavatis
   1 bazhayuchi	buti
   1 bankiivs	koyi
   1 b	podumati
   1 b	piislya
   1 avtostanciiyi	za
   1 avtoritetu	sociialiistiiv
   1 avtoritetnih	predstavnikiiv
   1 avtokefaliiyu	Neviidomii
   1 avtokefaliiyu	Nespodiivana
   1 avariiyi	na
   1 antiprezidents	kiij
   1 antikrizovu	koaliiciiyu
   1 anii	zaluchennya
   1 anii	potuzhnij
   1 ambiiciiyi	Liider
   1 ambiiciij	Moroza
   1 alternate	UKR
   1 ale	u
   1 ale	odrazu
   1 al	ternativnoyi
   1 akushers	kim
   1 akushers	kih
   1 aktivnu	uchast
   1 aktivnu	poliitiku
   1 aktivnim	uchasnikam
   1 aktivnih	akciij
   1 akciiyi	Ukrayina
   1 akciiyi	Povstan
   1 akciij	Ukrayina
   1 agresivnih	akushers
   1 agiitaciijnoyi	roboti
   1 agentstvo	Ukrayins
   1 afganciiv	S
   1 adzhe	3
   1 admiinresursu	pershogo
   1 admiiniistraciiyi	A
   1 abo	vse
   1 abo	mensh
   1 abo	iinshe
   1 abo	bliz
   1 abo	0
   1 a	ne
   1 ____________________________________________________________	Nadiislati
   1 ____________________	BUTTON
   1 Zrujnovanij	palac
   1 Znayu	scho
   1 Znajdena	pomilka
   1 Zelenskij	ne
   1 Zdavalosya	b
   1 Za	cim
   1 Za	Orvellom
   1 YUsov	IIgnor
   1 YUschenka	ta
   1 YUbilejnye	emocii
   1 YU	Lucenko
   1 YAnukovicha	ii
   1 YAkiist	osviitniih
   1 YAk	pracyuvala
   1 YAk	domogtisya
   1 YAk	aktivnim
   1 XIX	z
   1 Vsii	zapisi
   1 Vsii	publiikaciiyi
   1 Voni	na
   1 Volodimiru	Praviku
   1 Volodimira	Litvina
   1 Volodimira	Goshovs
   1 Volodimir	Karplyuk
   1 Volgi	yakij
   1 Vnutriishnii	chvari
   1 Vlada	ves
   1 Vlada	mala
   1 Vkontakte	Facebook
   1 Vinnim	u
   1 Viitrenko	zabrali
   1 Viitrenko	yaka
   1 Viitrenko	Us
   1 Viins	kij
   1 Viiktoriiya	Matola
   1 Viiktoriiv	YUschenka
   1 Viijna	na
   1 Viideo	____________________
   1 Viideo	Avtori
   1 Vihodit	tak
   1 Vibori	2004
   1 Vibiir	redakciiyi
   1 Vhodzhennya	u
   1 Vhiid	CHerez
   1 Veterani	ATO
   1 Vbivstvo	Gandzyuk
   1 Vasilyu	Cushku
   1 Vasilya	Volgi
   1 Vasil	ev
   1 Vasil	Cushko
   1 Vadimom	Miisyuroyu
   1 V	umovah
   1 V	blizhajshie
   1 V	Homutec
   1 V	Homutcii
   1 V	Bojka
   1 Usviidomlyuyuchi	ce
   1 Ustenko	yakij
   1 Ustenko	Odnak
   1 Us	ogo
   1 Ukrayins	ki
   1 Ukrayins	ka
   1 Ukrayinii	fiinansove
   1 Ukrayinii	Rosiijs
   1 Ukrayinii	Golovna
   1 Ukrayini	viriishiv
   1 Ukrayini	piid
   1 Ukrayini	nabrala
   1 Ukrayini	lishe
   1 Ukrayini	koshtuvalo
   1 Ukrayini	kolishn
   1 Ukrayini	ii
   1 Ukrayini	ale
   1 Ukrayini	Vihodit
   1 Ukrayini	U
   1 Ukrayini	Mikolu
   1 Ukrayina	yaka
   1 Ukrainy	stolknetsya
   1 Ukraina	mozhet
   1 UKR	RUS
   1 UKR	ENG
   1 UBOPa	YUbilejnye
   1 U	rezul
   1 U	razii
   1 U	novostvorenih
   1 U	nas
   1 U	kviitnii
   1 U	cih
   1 Twitter	Temy
   1 Twitter	LinkedIn
   1 Twitter	Foto
   1 Twitter	Drugie
   1 Tridcatiletie	Dnepropetrovskogo
   1 Tradiciijno	14
   1 Topalova	Reformuvannya
   1 Tomu	viin
   1 Tiitamir	Vlada
   1 Teper	same
   1 Temy	SPU
   1 Tekst	z
   1 Takim	zdobutkom
   1 Svetlana	Topalova
   1 Start	vyborov
   1 Sprobi	stvoriti
   1 Spravedlivostii	II
   1 Spravedlivij	efektivnij
   1 Spodarenko	J
   1 Spisok	Grojsmana
   1 Spiilku	molodih
   1 Spectemy	Dos
   1 Soyuz	liivih
   1 Socpartiiyi	bulo
   1 Sociialiistichnu	partiiyu
   1 Sociialiistichnij	kongres
   1 Sociialiistichne	liholiittya
   1 Sociialiistichna	partiiya
   1 Sociialiisti	CHastina
   1 Skolov	K
   1 Simvoliichnii	dari
   1 Serpnevij	z
   1 Sencov	KishkiNa
   1 Sanicha	u
   1 San	Sanicha
   1 SPU	z
   1 SPU	vlasnu
   1 SPU	v
   1 SPU	prijnyav
   1 SPU	poslavshis
   1 SPU	obrav
   1 SPU	ne
   1 SPU	ii
   1 SPU	Ne
   1 SPU	Facebook
   1 SHimkiiv	Pravo
   1 SCHe	odnim
   1 S	decentralizaciej
   1 S	Niikolaienko
   1 S	CHervonopis
   1 Rudomanov	Zrujnovanij
   1 Roman	Kabachiij
   1 Riichnicya	Majdanu
   1 Rezul	tat
   1 Reshenie	sovetskogo
   1 Reklama	na
   1 Reformuvannya	vischoyi
   1 Redakciiya	Reklama
   1 RUS	UKR
   1 RSS	alternate
   1 Publiikaciiyi	Pravo
   1 Proekt	IInstitutu
   1 Prezidenty	12
   1 Pravo	na
   1 Praviku	12
   1 Pozhivanov	Veterani
   1 Povstan	Ukrayina
   1 Posle	oficial
   1 Pomilka	v
   1 Poliitichnoyi	ugodi
   1 Pol	zovatel
   1 Pochemu	v
   1 Pochemu	Zelenskij
   1 Pevnii	nadiiyi
   1 Petro	Ustenko
   1 Peredruk	kopiiyuvannya
   1 Pavlovs	kij
   1 Partiiieyu	regiioniiv
   1 Paralel	no
   1 PageView	noscript
   1 PSPU	Ne
   1 PSPU	Nataliiyi
   1 PCU	U
   1 PCU	Hmel
   1 Ot	lyubvi
   1 Orvellom	nova
   1 Onufriiya	U
   1 Onufriiya	Piisnii
   1 Oleksandr	Rudomanov
   1 Oleksandr	Davidenko
   1 Oleg	Tiitamir
   1 Oleg	Sencov
   1 Oj	ce
   1 Odnoklassniki	Google
   1 Odnak	proviidnimi
   1 Odnak	ii
   1 Odnak	faktichnij
   1 OTG	potrebuyut
   1 ONMedU	Rosiijs
   1 ONMedU	Kabmiin
   1 O	Morozu
   1 O	Moroz
   1 O	Baraniivs
   1 Novini	j
   1 Novini	Publiikaciiyi
   1 Novini	Poliitika
   1 Niikolaienko	ta
   1 Nevdaliij	uchastii
   1 Ne	dopomoglo
   1 Ne	bazhayuchi
   1 Nataliiyi	Viitrenko
   1 Nataliiya	SHimkiiv
   1 Nariiman	Dzhelyalov
   1 Naperedodnii	parlaments
   1 Naftogazom	Viiktoriiya
   1 Naftogazom	U
   1 Nadiislati	Oj
   1 Nacpoliiciiyi	j
   1 Naciional	noyi
   1 Na	zhal
   1 Na	pozachergovomu
   1 Na	chergovih
   1 Morozu	zalishki
   1 Morozu	ii
   1 Morozu	dovelos
   1 Morozu	Usviidomlyuyuchi
   1 Moroza	yakii
   1 Moroza	na
   1 Moroza	ii
   1 Moroza	Na
   1 Moroz	zrobiv
   1 Moroz	prijnyav
   1 Moroz	gotovij
   1 Moroz	c
   1 Mit	Skolov
   1 Miselyuk	Start
   1 Mirgoroda	Kvitki
   1 Mikolu	Rud
   1 Mikoli	Rud
   1 Mikola	Rud
   1 Miisyuroyu	scho
   1 Mihajlo	Pozhivanov
   1 Mi	radii
   1 Metalurgiijnogo	kombiinatu
   1 Meta	podiibnih
   1 Medreforma	IInstrukciiya
   1 Matola	Volodimir
   1 Majdanu	Viijna
   1 MVF	vryatuvali
   1 Lucenko	II
   1 Litvina	golosiiv
   1 LinkedIn	Avtorizuyas
   1 Like	Spectemy
   1 Like	Publiikaciiyi
   1 Liider	sociialiistiiv
   1 Kvitki	na
   1 Kuchmi	takozh
   1 Kuchmi	ii
   1 Kuchmi	Volodimir
   1 Kto	vinovat
   1 Kremlya	maniipulyaciiyi
   1 Krapiviin	YAk
   1 Kopyt	ko
   1 Kompartiiieyu	utvoriv
   1 Kolishnii	opoziciijnii
   1 Knizhkova	policya
   1 Kiyivs	koyi
   1 Kiyivs	kiij
   1 KishkiNa	Avtokefaliiya
   1 Kiieva	Oprilyudneno
   1 Kiieva	Neviidomii
   1 Kiev	Sergej
   1 Kartochnyj	domik
   1 Karplyuk	IIrpiin
   1 Kabachiij	Decentraliizaciiya
   1 J	Viins
   1 INS	Publiikaciiyi
   1 INS	Proekt
   1 INS	CHitajte
   1 IIrpiin	CHornobil
   1 IIrpenya	prihodyat
   1 IInstrukciiya	do
   1 IInstitutu	Gorsheniina
   1 IInkoli	hochet
   1 IIlliicha	V
   1 IIgnor	ii
   1 II	vzhe
   1 II	vlada
   1 II	na
   1 II	Spodarenko
   1 II	CHizha
   1 IEvropejs	kij
   1 IEvgen	Krapiviin
   1 Hto	skazav
   1 Homutec	mozhna
   1 Homutcya	V
   1 Homutcii	nemaie
   1 Grupa	zaboroneno
   1 Groshii	zarobiitchan
   1 Grojsmana	23
   1 Goshovs	kogo
   1 Gorsheniina	Redakciiya
   1 Google	Twitter
   1 Golubchenka	ii
   1 Golovna	Blogi
   1 Golovi	Nacpoliiciiyi
   1 Golovi	Kiyivs
   1 Golova	Naciional
   1 Gandzyuk	Oleg
   1 Foto	most
   1 Foto	Grupa
   1 Fondu	derzhmajna
   1 Faktichnij	liider
   1 Facebook	ii
   1 Facebook	Odnoklassniki
   1 Esli	ne
   1 ENG	Novini
   1 Dzhelyalov	pro
   1 Drugie	zapisi
   1 Dos	ie
   1 Donec	kiij
   1 Donbasii	Vbivstvo
   1 Dnepropetrovskogo	UBOPa
   1 Dmitrij	Vasil
   1 DepositPhotos	tr
   1 Decentraliizaciiya	ii
   1 Davidenko	Tridcatiletie
   1 Dalii	viidbuvalis
   1 Cushku	V
   1 Cushko	zalishiv
   1 Cushko	za
   1 CHornobil	poiednanii
   1 CHizha	kolishnii
   1 CHitajte	takozh
   1 CHitajte	golovnii
   1 CHervonopis	kogo
   1 CHerez	sociial
   1 CHastina	druga
   1 CHAES	meshkancii
   1 Borotisya	z
   1 Bojka	zavdyaki
   1 Blogi	Poliitika
   1 Blogi	K
   1 Blogi	Foto
   1 Blogi	Blog
   1 Blog	Volodimira
   1 Bazovih	principiiv
   1 Baraniivs	kij
   1 BUTTON	Riichnicya
   1 Avtorizuyas	na
   1 Avtori	Arhiiv
   1 Avtokefaliiya	Hmel
   1 Arhiiv	Novini
   1 Andriij	YUsov
   1 Andriij	Pavlovs
   1 Andrej	Miselyuk
   1 Aleksej	Kopyt
   1 Ale	j
   1 Afganistan	okazalos
   1 ATO	sam
   1 A	Golubchenka
   1 95	tisyach
   1 95	golosiiv
   1 93	tisyachii
   1 93	golosiiv
   1 86	golosiiv
   1 8	golosiiv
   1 773	viborciiv
   1 6	95
   1 57	Oleksandr
   1 5	piidpisiiv
   1 5	8
   1 5	7
   1 45	golosiiv
   1 45	Oleg
   1 45	Dmitrij
   1 440471506375777	ev
   1 43	Mihajlo
   1 414378_mi_radi_shcho_vdalosya_vikonati	html
   1 414278_orvellom_nova_informatsiyna	html
   1 414096_simvolichni_dari_i_realni_za	grozi
   1 413620_pravo_diietu_yak_domogtisya	html
   1 401158_medreforma_instruktsiya	html
   1 40	Piisnii
   1 40	Nespodiivana
   1 4	viborciiv
   1 33	deputati
   1 306	delegatiiv
   1 3	nabranih
   1 3	goda
   1 3	7
   1 3	2
   1 29	viid
   1 29	kviitnya
   1 29	Spisok
   1 29	Aleksej
   1 29	413620_pravo_diietu_yak_domogtisya
   1 27	Roman
   1 255	z
   1 24	lipnya
   1 24	Sociialiisti
   1 23	travnya
   1 23	401158_medreforma_instruktsiya
   1 21	deputata
   1 21	deputat
   1 2019	Kartochnyj
   1 2018	rocii
   1 2018	mu
   1 2018	11
   1 2018	06
   1 2016	17
   1 2016	15
   1 2016	13
   1 2014	13
   1 2010	roku
   1 2010	rocii
   1 2009	roku
   1 2006	roku
   1 2005	roku
   1 2004	roku
   1 200	rajonnyh
   1 20	lipnya
   1 20	Spravedlivij
   1 2	http
   1 2	golosiiv
   1 2	93
   1 2	86
   1 192	tisyachii
   1 19	Knizhkova
   1 19	19
   1 18	listopada
   1 18	00
   1 17	43
   1 17	29
   1 17	13
   1 16	veresnya
   1 16	Svetlana
   1 16	INS
   1 16	05
   1 15	45
   1 15	20
   1 14	grudnya
   1 14	INS
   1 13	Volodimir
   1 13	24
   1 13	14
   1 12	siichnya
   1 12	knizhok
   1 12	Andriij
   1 12	16
   1 12	07
   1 12	06
   1 12	05
   1 12	04
   1 11	tisyach
   1 11	liivih
   1 11	45
   1 11	29
   1 11	16
   1 11	12
   1 10	29
   1 10	27
   1 10	00
   1 1	Znajdena
   1 1	3
   1 09	57
   1 07	414378_mi_radi_shcho_vdalosya_vikonati
   1 06	414278_orvellom_nova_informatsiyna
   1 06	23
   1 05	Oleksandr
   1 05	Andriij
   1 04	414096_simvolichni_dari_i_realni_za
   1 00	Sergej
   1 00	IEvgen
   1 0	45
   1 0	4
