   9 biil	shiist
   1 kanalu	DT
   1 kampaniiyi	YIyi
   1 kadenne	pobachennya
   1 kabiinetu	golovi
   1 ka	valyuta
   1 ka	tisyach
   1 ka	miisyaciiv
   1 ka	biil
   1 jti	na
   1 jogo	zh
   1 jmoviirno	pochne
   1 j	viideo
   1 j	povinna
   1 j	dzviinko
   1 in	RU
   1 implemented	_____________________________________
   1 iisnuiemo	za
   1 iinvestori	gotuyut
   1 iinterv	yu
   1 iinternet	vidan
   1 iinshih	resursiiv
   1 iinodii	viin
   1 ii	zrobit
   1 ii	zavoyuvav
   1 ii	zahistiti
   1 ii	vzyali
   1 ii	trivozhniist
   1 ii	sprobuvati
   1 ii	silovogo
   1 ii	neobhiidnostii
   1 ii	ne
   1 ii	natisniit
   1 ii	napryamok
   1 ii	liider
   1 ii	domovitisya
   1 ii	SHotlands
   1 ii	Gondurasu
   1 ii	Britaniiya
   1 ii	Brexit
   1 ieyu	Za
   1 ieri	2019
   1 iera	CHitajte
   1 ier	u
   1 ier	miiniistr
   1 iektom	u
   1 iednuvatisya	dlya
   1 iedinomu	rinku
   1 iedinogo	rinku
   1 ie	Svyato
   1 id	277876779342229
   1 hvorobi	nirok
   1 hram	ii
   1 hotiila	zabezpechiti
   1 hochut	schob
   1 hoche	stati
   1 hocha	iinodii
   1 haosu	Peregovori
   1 gurt	KAZKA
   1 grupoyu	biijciiv
   1 grudnya	Ponad
   1 grudnya	Poliiciiya
   1 grn	derzhpiidtrimki
   1 grivnya	pomiitno
   1 griven	Usii
   1 griven	17
   1 govoriv	scho
   1 gotuyut	sya
   1 gotuie	novoriichnu
   1 gotuie	iimersivnu
   1 gotovii	progolosuvati
   1 gotova	do
   1 golovnu	podiiyu
   1 golovnij	konkurent
   1 golovnih	z
   1 golovnih	rolyah
   1 golovi	DFS
   1 golosuyut	iinvestori
   1 golosiiv	ce
   1 go	u
   1 go	DZIDZIO
   1 go	2019
   1 giiperposilannya	u
   1 gazovanih	napoyiv
   1 gambiit	ne
   1 galuz	nadiijshlo
   1 futbol	ne
   1 funkciional	na
   1 foto	j
   1 formii	bez
   1 ev	PageView
   1 eks	zamkombata
   1 ekonomiiyi	a
   1 editor	zn
   1 dzviinko	smiiyalisya
   1 dvoh	rokiiv
   1 dva	tizhnii
   1 dva	terakti
   1 dva	razi
   1 duzhe	pozitivnij
   1 druzyami	Komentuvati
   1 druzki	perekonanij
   1 dozvolu	Materiiali
   1 dozvolili	kiil
   1 dostupu	do
   1 dosii	bude
   1 dopomogu	Sal
   1 donarahuvali	podatkiiv
   1 domovitisya	pro
   1 domovilisya	pro
   1 domovilasya	z
   1 dolonii	j
   1 dokaziiv	16
   1 dohodyat	do
   1 dodatkovii	miil
   1 dobitisya	zberezhennya
   1 do	viboriiv
   1 do	tak
   1 do	problem
   1 do	nih
   1 do	kiincya
   1 do	kabiinetu
   1 do	iedinogo
   1 do	ciiloyi
   1 do	Telegram
   1 do	9
   1 dnii	yiyi
   1 dlya	poshukovih
   1 dlya	navchannya
   1 dlya	krayini
   1 dlya	komandi
   1 dlya	biil
   1 diplomatiiv	u
   1 diku	prirodu
   1 diiti	27
   1 diitej	ne
   1 diijsno	vazhlivii
   1 derzhpiidtrimki	16
   1 derzhavoyu	okupantom
   1 deputatiiv	yakii
   1 deputatiiv	konservatoriiv
   1 demokratami	ii
   1 davno	hochut
   1 datu	povnogo
   1 datoyu	____________________
   1 dast	yij
   1 dala	zrozumiiti
   1 cyu	slabkiist
   1 ciiloyi	nizki
   1 ciillyu	New
   1 ciilkom	funkciional
   1 ciikavo	o
   1 cifrah	ce
   1 chlenom	Radi
   1 chislii	z
   1 chinovniki	mozhut
   1 chinnoyi	partiiyi
   1 chinnostii	v
   1 chinnostii	Usii
   1 chinnostii	29
   1 chi	otrimayut
   1 chi	bude
   1 chervnya	2017
   1 cherez	socmerezhii
   1 cherez	ochiikuvannya
   1 cherez	miigrantiiv
   1 cherez	konfliikt
   1 cherez	kiil
   1 chenciiv	u
   1 chempiions	kij
   1 chempiionat	sviitu
   1 chasami	koaliiciiyi
   1 chas	viijni
   1 chas	sformuvati
   1 ce	v
   1 ce	proti
   1 ce	podast
   1 ce	ne
   1 ce	ii
   1 captcha	____________________
   1 c	omu
   1 buv	chas
   1 buti	vinesene
   1 buti	viidkladenii
   1 buli	zroblenii
   1 buli	do
   1 bula	opubliikovana
   1 bude	zalezhati
   1 bude	viidkladenij
   1 bude	skladno
   1 bude	povniistyu
   1 bude	neobhiidna
   1 bude	nache
   1 bude	ciilkom
   1 bude	ciikavo
   1 bude	brati
   1 bud	yakiij
   1 bu	vipustili
   1 britans	kogo
   1 britanciiv	todii
   1 britancii	golosuyut
   1 brati	uchast
   1 bojovik	raniishe
   1 bloku	27
   1 blocii	Novini
   1 bliz	ko
   1 biti	voroga
   1 biisa	yim
   1 biinosa	povernuli
   1 biil	shiistyu
   1 biil	she
   1 biijciiv	perejshov
   1 bezviizu	Zakon
   1 bezpekoyu	Brexit
   1 bezpeki	Ukrayini
   1 bezpeki	OON
   1 bezkoshtovnoyi	osviiti
   1 bez	viidstoronennya
   1 bez	pis
   1 bachennya	svoieyi
   1 avtorom	u
   1 armiiyi	nemozhlivij
   1 arheologiiv	za
   1 aresht	Prodana
   1 apelyaciiyu	pro
   1 antikorupciijnu	reformu
   1 anonsuvali	piidvischennya
   1 alternate	tr
   1 alternate	Poliitika
   1 ale	rezul
   1 ale	ce
   1 al	biinosa
   1 agrarnu	galuz
   1 abzacii	na
   1 absolyutno	zmiiniti
   1 abo	rozpovsyudzhennyu
   1 a	vsya
   1 a	funt
   1 a	dva
   1 ____________________________________________________________	Zalishilos
   1 __________________________________________________	nagadati
   1 __________________________________________________	____________________
   1 _____________________________________	Nemaie
   1 ____________________	uviijti
   1 ____________________	captcha
   1 ____________________	__________________________________________________
   1 ____________________	Zareiestruvatisya
   1 ____________________	X
   1 ____________________	SHukati
   1 Zmiist	nomeru
   1 Zavantazhennya	CHitajte
   1 Zareiestruvatisya	____________________
   1 Zareiestrujtesya	Logiin
   1 Zaraz	Lejboristiiv
   1 Zalishilos	simvoliiv
   1 Zakon	pro
   1 Zabuli	parol
   1 Za	slovami
   1 Za	nami
   1 Za	materiialami
   1 Za	Lejboristiiv
   1 Za	2018
   1 ZN	ua
   1 ZN	Peredplata
   1 ZHana	Reno
   1 Z	biil
   1 YUNIISEF	14
   1 YIyi	golovnij
   1 YIj	dosii
   1 YAkscho	yiyi
   1 YAkscho	Tereza
   1 X	u
   1 Vzhivannya	solodkih
   1 Vona	vzhe
   1 Vona	navryad
   1 Vimkniit	AdBlock
   1 Vikoristannya	Dlya
   1 Viin	Grant
   1 Viidnii	neviidomii
   1 Viideo	16
   1 Vidannya	Gazeta
   1 Vidannya	Bloomberg
   1 Vibori	v
   1 Vibori	u
   1 Velikobritaniiyi	osnovnii
   1 Vchenii	nazvali
   1 Varviiks	kogo
   1 Vam	takozh
   1 Vam	smakuie
   1 V	pitannii
   1 V	korotkostrokoviij
   1 Usii	materiiali
   1 Us	ogo
   1 Uryadi	krayin
   1 Urugvaiem	schodo
   1 Urugvaiem	pro
   1 Uniiversitetu	Nottiingema
   1 Uniiversitetu	Manchestera
   1 Ukrayini	kritichno
   1 Ukrayinec	Len
   1 Ukrayincii	nazvali
   1 Ukrayina	zberegla
   1 Ukrayina	zavershila
   1 Ukrayina	vvede
   1 Ukrayina	domovilasya
   1 Ukrayina	V
   1 Ukrayina	Portugaliiya
   1 UPC	MP
   1 UKRAYINA	Vipusk
   1 UA	____________________
   1 UA	Pomiitili
   1 UA	Mi
   1 U	cifrah
   1 U	Viidnii
   1 U	Velikiij
   1 U	MZS
   1 U	Kiievii
   1 U	Kabmiinii
   1 U	DFS
   1 U	2019
   1 U	2018
   1 Twitter	Google
   1 Tvitnut	U
   1 Trunova	KAZKA
   1 Tretiij	scenariij
   1 Trepak	Stattya
   1 Trepak	Avtor
   1 Trampa	zvinuvativ
   1 Tramp	zayaviv
   1 Tornado	piislya
   1 Tornado	Usii
   1 Telegram	kanalu
   1 Telefon	380
   1 Tehnologiiyi	Nensii
   1 TIZHNYA	UKRAYINA
   1 Svyato	nablizhaiet
   1 Sviit	U
   1 Suschenku	dozvolili
   1 Sud	viidhiliv
   1 Stiiv	Fiildiing
   1 Stattya	ZHana
   1 Stattya	SBU
   1 Stattya	OPK
   1 Stattya	Dzhonson
   1 Stattya	Antikorupciijna
   1 Stara	Rubriki
   1 Sport	Vidannya
   1 Sport	SCHe
   1 Sport	Match
   1 Specproekti	IInterv
   1 Sluzhbi	bezpeki
   1 Shovati	Us
   1 Sencov	nazvanij
   1 Sencov	lyudina
   1 Sekunda	poliitichnoyi
   1 Sal	vadoru
   1 SSHA	pripinyat
   1 SHukati	u
   1 SHukati	Vibori
   1 SHotlands	koyu
   1 SHansi	dlya
   1 SCHe	Foto
   1 SBU	2019
   1 Rudyachenko	Stattya
   1 Rudyachenko	Avtor
   1 Rubriki	Poliitika
   1 Rozdrukuvati	Podiilitis
   1 Roman	pomerla
   1 Roman	Gazovana
   1 Riizdvo	Druzhno
   1 Riishennya	pro
   1 Rezul	tat
   1 Reno	shukajte
   1 Reklama	Redakciiya
   1 Reforma	Sluzhbi
   1 Redakciiya	Karta
   1 Real	zahistiv
   1 Real	vigrav
   1 Rassel	Tretiij
   1 Rassel	SHansi
   1 Radi	bezpeki
   1 RU	UA
   1 RF	nabude
   1 RF	ii
   1 Progres	v
   1 Prodovzhennya	sankciij
   1 Prodana	14
   1 Problemoyu	takozh
   1 Prem	ier
   1 Poyasii	Kojpera
   1 Portugaliiya	viidbudet
   1 Ponad	700
   1 Pomiitili	pomilku
   1 Polonenij	bojovik
   1 Poliitika	U
   1 Poliiciiya	vvazhaie
   1 Podiilitis	z
   1 Plajd	Kemri
   1 Piislya	takogo
   1 Piishla	z
   1 Piidozryuvanii	u
   1 Pershij	z
   1 Peregovori	pro
   1 Peredplata	Kontakti
   1 PageView	noscript
   1 P	yatij
   1 Ostannii	novini
   1 Orlova	Stattya
   1 Orlova	Avtor
   1 Onischenko	Matyushin
   1 Oliigarhi	skupovuyut
   1 Oleshka	sluzhili
   1 Ofiiciijna	grivnya
   1 Odnak	ce
   1 Oboronne	zamovlennya
   1 OPK	2019
   1 OON	Usii
   1 Novini	iinshih
   1 Nottiingema	Stiiv
   1 Niimechchina	hoche
   1 Nemaie	obliikovogo
   1 Nazarova	Butusov
   1 Nasiirova	keriivnikom
   1 Nasiirov	ne
   1 Najbiil	shim
   1 Naciional	nomu
   1 Na	stariinnya
   1 NBU	Ofiiciijna
   1 NBA	Beriinchik
   1 Muzhenko	Nazarova
   1 Mozhe	statisya
   1 Moskovska	19
   1 Mobiil	na
   1 Miins	kih
   1 Mi	poviidomlyaiemo
   1 Mi	iisnuiemo
   1 Mendelieiev	Stattya
   1 Mendelieiev	Avtor
   1 Mej	zmozhe
   1 Mej	viid
   1 Mej	v
   1 Mej	parlament
   1 Mej	ogolosila
   1 Mej	ne
   1 Mej	nazivala
   1 Mej	ii
   1 Matyushin	z
   1 Materiiali	u
   1 Match	viidbudet
   1 Match	viidboru
   1 Manchestera	Endryu
   1 MZS	zayavili
   1 MVS	Suschenku
   1 MP	nabuv
   1 Lyudi	viidreaguyut
   1 Loznicya	Trunova
   1 Logiin	Zabuli
   1 Log	in
   1 Liemienov	Stattya
   1 Liemienov	Avtor
   1 Lejborists	koyi
   1 Lejborists	ka
   1 Lejboristiiv	zmogla
   1 Lejboristiiv	prodovzhuie
   1 Lejboristiiv	piidtrimuyut
   1 Lejboristiiv	gotovii
   1 Krimu	MZS
   1 Korbiina	buv
   1 Korbiin	viirogiidno
   1 Korbiin	skoristavsya
   1 Korbiin	raniishe
   1 Kontakti	01010
   1 Konservatoriiv	menshe
   1 Konservativnoyi	partiiyi
   1 Konservativna	partiiya
   1 Komentuvati	Tvitnut
   1 Kojpera	Usii
   1 Kobiinu	bude
   1 Kiyiv	vul
   1 Kiinopiidsumki	2018
   1 Kiievii	neviidomii
   1 Kiievii	Len
   1 Kemri	A
   1 Karta	Piidtrimati
   1 Karpatah	prem
   1 Kabmiinii	anonsuvali
   1 Kabmiin	zatverdiv
   1 KAZKA	uspiihi
   1 KAZKA	suprovodzhuvav
   1 Input	not
   1 INS	INS
   1 INS	DZERKALO
   1 IInterv	yu
   1 IEvrosoyuzom	Odnak
   1 IEvropi	Z
   1 IEvropejs	kii
   1 IEvro	2020
   1 IEdinogo	v
   1 IES	zrostut
   1 IES	takozh
   1 IES	proti
   1 IES	ii
   1 IES	Piislya
   1 Habbl	Nensii
   1 Gvatemalii	ii
   1 Grant	Problemoyu
   1 Grant	Drugij
   1 Google	Shovati
   1 Gondurasu	cherez
   1 Gazovana	voda
   1 Gazeta	Arhiiv
   1 Foto	ta
   1 Fiildiing	CHitajte
   1 Facebook	Twitter
   1 FIIFA	Usii
   1 Enter	Dodati
   1 Endryu	Rassel
   1 Ekonomiika	AMKU
   1 Dzhonson	yakij
   1 Dzheremii	Korbiin
   1 Druzhno	pleskali
   1 Drugij	scenariij
   1 Dopoviid	bula
   1 Donbasii	YUNIISEF
   1 Donarahovanii	sumi
   1 Doluchajsya	do
   1 Dodati	komentar
   1 Dlya	iinternet
   1 Diplomatichnij	sklad
   1 DZIDZIO	zavdali
   1 DZIDZIO	Usii
   1 DZERKALO	TIZHNYA
   1 DTEK	Ahmetova
   1 DFS	viidmovilisya
   1 DFS	U
   1 Ctrl	Enter
   1 Cej	scenariij
   1 Cej	rezul
   1 Ce	zrobit
   1 Ce	mozhe
   1 CHotiri	roki
   1 CHitajte	nas
   1 CHetvertij	scenariij
   1 Butusov	Stattya
   1 Butusov	Avtor
   1 Butusov	15
   1 Bud	laska
   1 Bryusselem	z
   1 Britaniiyi	z
   1 Britaniiyi	schob
   1 Britaniiyi	prohodyat
   1 Britaniiyi	Zaraz
   1 Britaniiyi	Mej
   1 Britaniiyi	5
   1 Britaniiya	vibori
   1 Britaniiya	lishit
   1 Britaniiya	domovilisya
   1 Brexit	zhorstkih
   1 Brexit	tak
   1 Brexit	scho
   1 Brexit	rozpadet
   1 Brexit	ne
   1 Brexit	biil
   1 Brexit	Mej
   1 Brexit	Korbiin
   1 Brexit	Bloomberg
   1 Borneo	IEdinogo
   1 Bloomberg	navodit
   1 Bloomberg	9
   1 Beriinchik	zdobuv
   1 Beriinchik	zavoyuvav
   1 Bankiivs	kij
   1 BUTTON	Input
   1 Azov	Piidozryuvanii
   1 Avtorizujtesya	schob
   1 Avtor	YUriij
   1 Avtor	Viiktor
   1 Avtor	Tetyana
   1 Armiiya	piid
   1 Armiiya	2019
   1 Antikorupciijna	sistema
   1 Ale	seriiya
   1 Ale	parlaments
   1 Al	bu
   1 Ahmetova	Bankiivs
   1 Advokat	Trampa
   1 AdBlock	
   1 Abo	uviijdiit
   1 AMKU	ne
   1 A	poki
   1 A	otzhe
   1 93	rokiiv
   1 9	chervnya
   1 9	Za
   1 85	Elektronna
   1 700	tisyach
   1 59	V
   1 55	o
   1 5	rokiiv
   1 5	mozhlivih
   1 5	menshe
   1 44	280
   1 43	piidtrimuyut
   1 42	MZS
   1 4	mlrd
   1 39	o
   1 380	44
   1 38	naselennya
   1 35	o
   1 35	U
   1 34	britanciiv
   1 33	Rozdrukuvati
   1 30	o
   1 29	grudnya
   1 280	04
   1 28	mu
   1 28	12
   1 277876779342229	ev
   1 27	Usii
   1 2020	Ukrayina
   1 2019	rocii
   1 2019	p
   1 2018	roku
   1 2018	r
   1 2018	gurt
   1 2018	go
   1 2018	Oleg
   1 2017	08
   1 2000	Avtorizujtesya
   1 20	o
   1 20	Dmitro
   1 2	mln
   1 19	1
   1 18	Tetyana
   1 17	Vikoristannya
   1 17	Advokat
   1 17	42
   1 16	59
   1 16	12
   1 16	09
   1 16	06
   1 16	04
   1 15	miil
   1 15	Oleksandr
   1 15	39
   1 15	20
   1 15	18
   1 15	15
   1 15	00
   1 14	55
   1 14	30
   1 14	20
   1 12	o
   1 11	raziiv
   1 100	miiscyami
   1 10	miisc
   1 1	publisher
   1 1	Telefon
   1 09	YUriij
   1 08	33
   1 06	Oleksandr
   1 04	Dmitro
   1 04	85
   1 01010	Kiyiv
   1 00	Viiktor
   1 0	Zavantazhennya
